	Valence	Arousal	Average
1	0.7636	0.6908	0.7272
2	0.7457	0.6553	0.7005
3	0.7276	0.6674	0.6975
4	0.7688	0.6673	0.718
5	0.7688	0.6535	0.7111
6	0.7333	0.6993	0.7163
7	0.7525	0.6624	0.7074
8	0.7471	0.6682	0.7076
9	0.7681	0.6656	0.7168
10	0.78	0.6673	0.7236
SD	0.0171	0.0145	0.0158
Average	0.7555	0.6697	0.7126

