	Valence	Arousal	Average
1	0.9082	0.6627	0.7855
2	0.9205	0.6694	0.795
3	0.9076	0.6469	0.7773
4	0.9196	0.6917	0.8057
5	0.9074	0.6726	0.79
6	0.9085	0.6569	0.7827
7	0.9145	0.7131	0.8138
8	0.9131	0.6975	0.8053
9	0.9013	0.6798	0.7905
10	0.9159	0.7148	0.8154
SD	0.0061	0.0232	0.0146
Average	0.9117	0.6805	0.7961

