	Valence	Arousal	Average
1	0.9121	0.6848	0.7985
2	0.9247	0.6731	0.7989
3	0.9125	0.6536	0.7831
4	0.9208	0.7026	0.8117
5	0.9136	0.6857	0.7997
6	0.9125	0.6764	0.7945
7	0.9195	0.7177	0.8186
8	0.9145	0.718	0.8162
9	0.9051	0.6913	0.7982
10	0.9187	0.7229	0.8208
SD	0.0056	0.0225	0.0141
Average	0.9154	0.6926	0.804

