	Valence	Arousal	Average
1	0.9092	0.6807	0.795
2	0.9221	0.6612	0.7916
3	0.9106	0.6419	0.7762
4	0.9176	0.6995	0.8085
5	0.9101	0.6786	0.7944
6	0.9109	0.6682	0.7895
7	0.9155	0.7198	0.8177
8	0.9138	0.7099	0.8118
9	0.9025	0.6846	0.7935
10	0.9159	0.7115	0.8137
SD	0.0054	0.0247	0.0151
Average	0.9128	0.6856	0.7992

