	Valence	Arousal	Dominance	Average
1	-0.0051	0.0002	-0.0001	-0.0017
2	-0.0056	0.0008	0.0002	-0.0015
3	-0.0039	0.0	0.001	-0.001
4	-0.0038	-0.0001	-0.0001	-0.0013
5	-0.0088	0.0014	-0.0001	-0.0025
6	-0.0034	0.0022	0.0	-0.0004
7	-0.0034	0.0001	0.0	-0.0011
8	-0.0108	0.0011	0.0	-0.0032
9	-0.0002	0.0015	-0.0001	0.0004
10	-0.0041	0.0016	-0.0001	-0.0009
SD	0.0025	-0.0007	0.0	0.0006
Average	-0.0049	0.0008	0.0001	-0.0013

