	Valence	Arousal	Dominance
en2es	6.89423963471	1.86491413255	1.51772928644
en2pl			
en2de			
es2en	5.58152131671	0.324836122747	
es2pl			
es2de	0.919887372325		
pl2en	5.1456161569		
pl2es	4.67471518622		
pl2de			
de2en	1.31670673859		
de2es	3.86422416219		4.63265698402
de2pl			
