	Valence	Arousal	Dominance
English	5.54046387236e-06	0.134698446556	0.00107181827754
Spanish	1.69450923548e-06	0.103548410661	0.00165452733568
German	0.400419339082	0.00996047654446	
Polish		0.000399349244364	
