	Valence	Arousal	Average
1	0.7573	0.771	0.7642
2	0.7757	0.7506	0.7632
3	0.7387	0.7935	0.7661
4	0.761	0.7127	0.7368
5	0.7485	0.7356	0.742
6	0.819	0.743	0.781
7	0.7708	0.6415	0.7062
8	0.7776	0.7809	0.7793
9	0.7569	0.7989	0.7779
10	0.7805	0.7366	0.7586
SD	0.0222	0.0461	0.0342
Average	0.7686	0.7464	0.7575

