	Valence	Arousal	Average
1	0.9229	0.6974	0.8102
2	0.921	0.76	0.8405
3	0.9242	0.6677	0.7959
4	0.9214	0.7175	0.8194
5	0.9195	0.728	0.8237
6	0.914	0.7179	0.8159
7	0.9218	0.6876	0.8047
8	0.9298	0.7413	0.8355
9	0.9163	0.7113	0.8138
10	0.9225	0.7311	0.8268
SD	0.0043	0.0268	0.0155
Average	0.9213	0.716	0.8186

