	Valence	Arousal	Average
1	0.925	0.6781	0.8015
2	0.9207	0.7753	0.848
3	0.9309	0.6918	0.8114
4	0.9286	0.7203	0.8245
5	0.9244	0.7336	0.829
6	0.9176	0.7141	0.8159
7	0.9253	0.7045	0.8149
8	0.9317	0.7652	0.8484
9	0.9233	0.7442	0.8338
10	0.9335	0.7467	0.8401
SD	0.0051	0.0314	0.0182
Average	0.9261	0.7274	0.8267

