	Valence	Arousal	Average
1	0.9262	0.7119	0.819
2	0.9278	0.7763	0.852
3	0.9333	0.715	0.8241
4	0.9307	0.7494	0.8401
5	0.9259	0.7612	0.8436
6	0.9224	0.7445	0.8334
7	0.9283	0.7095	0.8189
8	0.9338	0.7723	0.8531
9	0.9254	0.7802	0.8528
10	0.9297	0.7386	0.8341
SD	0.0036	0.027	0.0153
Average	0.9284	0.7459	0.8371

