	Valence	Arousal	Dominance	Average
1	0.9582	0.6601	0.7946	0.8043
2	0.9752	0.7246	0.86	0.8532
3	0.9666	0.6988	0.8691	0.8448
4	0.9591	0.7044	0.8365	0.8333
5	0.9739	0.7324	0.8169	0.8411
6	0.9752	0.7444	0.8442	0.8546
7	0.9565	0.7414	0.8779	0.8586
8	0.9671	0.793	0.8483	0.8695
9	0.9719	0.7292	0.8502	0.8504
10	0.9605	0.6666	0.8526	0.8266
SD	0.0074	0.0391	0.0245	0.0237
Average	0.9664	0.7195	0.845	0.8436
