	Valence	Arousal	Dominance	Average
1	-0.0031	-0.0864	-0.0178	-0.0358
2	0.0028	-0.0764	-0.0149	-0.0295
3	-0.0004	-0.136	-0.009	-0.0484
4	-0.004	-0.0578	-0.0675	-0.0431
5	0.0012	-0.1075	-0.0488	-0.0516
6	-0.0017	-0.072	-0.0409	-0.0382
7	0.0061	-0.1193	-0.0591	-0.0575
8	-0.0016	-0.0772	-0.0284	-0.0357
9	0.0027	-0.0341	-0.0274	-0.0196
10	-0.0013	-0.0976	-0.0407	-0.0466
SD	0.0003	0.0097	0.0067	0.0056
Average	0.0001	-0.0864	-0.0355	-0.0406
