	Valence	Arousal	Dominance	Average
1	0.9544	0.7751	0.8186	0.8494
2	0.9227	0.7507	0.5866	0.7533
3	0.9661	0.7947	0.72	0.8269
4	0.9565	0.7828	0.6505	0.7966
5	0.9159	0.8201	0.4962	0.7441
6	0.9575	0.8065	0.6653	0.8098
7	0.9267	0.6749	0.6215	0.741
8	0.9549	0.7011	0.6204	0.7588
9	0.9313	0.6841	0.6455	0.7536
10	0.9528	0.7454	0.5622	0.7534
SD	0.0177	0.0517	0.0878	0.0524
Average	0.9439	0.7535	0.6387	0.7787
