	Valence	Arousal	Dominance	Average
1	-0.0017	-0.0079	-0.0008	-0.0035
2	-0.0028	-0.0247	-0.0042	-0.0106
3	-0.0002	-0.0156	0.0079	-0.0026
4	0.0016	0.0086	0.0003	0.0035
5	-0.0014	-0.0113	-0.0079	-0.0069
6	-0.0003	-0.0143	-0.019	-0.0112
7	-0.0012	-0.0171	0.0043	-0.0046
8	-0.0009	-0.0046	-0.0101	-0.0052
9	0.0038	-0.0112	-0.0115	-0.0063
10	-0.0005	-0.0283	-0.0122	-0.0136
SD	0.0005	0.0023	0.0033	0.002
Average	-0.0004	-0.0126	-0.0053	-0.0061
