	Joy	Anger	Sadness	Fear	Disgust
aborcja	     1.195	     3.294	     3.195	     3.458	     2.991
absolwent	     3.377	     1.429	     1.443	     1.636	     1.258
absurd	     1.641	     2.306	     2.049	     2.469	     1.953
adres	     1.896	     1.400	     1.341	     1.516	     1.325
aerozol	     1.955	     1.499	     1.461	     1.711	     1.468
afront	     1.519	     2.194	     1.856	     1.978	     2.224
agencja	     1.877	     1.757	     1.669	     2.068	     1.729
agonia	     1.126	     2.660	     3.174	     3.355	     2.976
agresja	     1.237	     3.406	     2.975	     3.608	     3.008
agresywność	     1.297	     3.159	     2.601	     3.376	     2.603
agresywny	     1.246	     3.341	     2.751	     3.360	     2.816
AIDS	     1.155	     2.727	     3.372	     3.521	     2.823
akademik	     2.530	     1.576	     1.576	     1.682	     1.526
akcent	     2.548	     1.432	     1.424	     1.579	     1.289
akceptacja	     3.859	     1.370	     1.389	     1.523	     1.181
aksamit	     3.467	     1.212	     1.373	     1.333	     1.203
akt	     2.122	     1.678	     1.620	     2.030	     1.493
aktualności	     2.314	     1.523	     1.428	     1.731	     1.295
aktywność	     3.605	     1.379	     1.364	     1.637	     1.209
aktywny	     3.497	     1.478	     1.456	     1.777	     1.280
aktywować	     3.263	     1.483	     1.413	     1.822	     1.281
akwaforta	     2.491	     1.483	     1.508	     1.594	     1.463
akwarium	     2.744	     1.282	     1.304	     1.260	     1.311
alarm	     1.606	     2.292	     1.949	     2.525	     2.103
Albania	     2.238	     1.477	     1.462	     1.591	     1.512
album	     2.685	     1.311	     1.333	     1.299	     1.233
aleja	     2.852	     1.366	     1.509	     1.480	     1.246
alergia	     1.329	     2.443	     2.529	     2.446	     2.161
alimenty	     1.513	     2.431	     2.057	     2.185	     2.349
alkoholik	     1.142	     2.739	     3.292	     3.362	     2.926
alkoholizm	     1.163	     2.741	     3.334	     3.421	     2.881
altruizm	     3.413	     1.336	     1.495	     1.482	     1.222
ambicja	     3.690	     1.520	     1.482	     1.731	     1.249
ambitny	     3.827	     1.469	     1.488	     1.704	     1.222
ambulans	     1.593	     2.402	     2.134	     2.650	     2.039
anchois	     1.902	     1.633	     1.549	     1.749	     1.666
anemiczny	     1.281	     2.287	     2.842	     2.474	     1.853
Anglia	     2.968	     1.251	     1.391	     1.464	     1.192
animusz	     2.898	     1.496	     1.450	     1.836	     1.286
anioł	     3.635	     1.306	     1.352	     1.518	     1.161
antyczny	     2.766	     1.303	     1.335	     1.566	     1.221
antylopa	     2.404	     1.436	     1.433	     1.573	     1.404
antypatia	     1.508	     2.146	     1.997	     2.189	     2.505
anulować	     1.503	     2.136	     1.887	     2.305	     2.035
anyż	     2.171	     1.515	     1.489	     1.687	     1.533
apartament	     3.528	     1.400	     1.402	     1.622	     1.227
apatia	     1.302	     2.162	     2.639	     2.304	     1.918
apatyczny	     1.300	     2.279	     2.731	     2.413	     1.848
apodyktyczny	     1.428	     2.607	     2.260	     3.104	     2.541
areszt	     1.222	     2.533	     2.942	     2.873	     2.482
arka	     2.729	     1.304	     1.376	     1.545	     1.247
arkusz	     2.032	     1.556	     1.516	     1.714	     1.494
armata	     1.813	     2.207	     1.764	     2.414	     1.791
arogancki	     1.343	     2.978	     2.457	     3.049	     2.595
artystyczny	     3.548	     1.395	     1.456	     1.521	     1.227
as	     3.304	     1.472	     1.493	     1.764	     1.259
asertywny	     3.438	     1.372	     1.410	     1.635	     1.185
aspekt	     2.049	     1.391	     1.352	     1.424	     1.287
aspołeczny	     1.261	     2.332	     2.617	     2.395	     2.226
astma	     1.193	     2.347	     2.728	     2.416	     2.107
astronauta	     2.887	     1.460	     1.411	     1.648	     1.277
atak	     1.469	     2.787	     2.358	     3.217	     2.319
atakować	     1.479	     2.799	     2.384	     3.240	     2.361
atakowanie	     1.462	     2.829	     2.402	     3.259	     2.372
atlas	     2.776	     1.284	     1.433	     1.533	     1.242
atletyka	     2.828	     1.410	     1.488	     1.606	     1.238
atmosfera	     2.832	     1.561	     1.545	     1.665	     1.307
atrakcyjny	     3.908	     1.449	     1.460	     1.620	     1.237
atrament	     1.905	     1.397	     1.325	     1.520	     1.318
atut	     3.535	     1.359	     1.418	     1.653	     1.199
audytorium	     2.306	     1.661	     1.519	     1.861	     1.404
aura	     2.938	     1.295	     1.483	     1.471	     1.239
Austria	     2.742	     1.380	     1.505	     1.508	     1.273
autobus	     1.788	     1.375	     1.345	     1.496	     1.340
autonomia	     2.756	     1.437	     1.417	     1.577	     1.273
autonomiczny	     2.864	     1.496	     1.390	     1.784	     1.279
autorytatywny	     2.055	     1.968	     1.678	     2.230	     1.632
autorytet	     3.504	     1.474	     1.470	     1.832	     1.270
autostrada	     2.886	     1.513	     1.456	     1.812	     1.272
awans	     3.853	     1.443	     1.457	     1.532	     1.211
awanturnictwo	     1.230	     3.128	     2.736	     2.984	     2.521
awaria	     1.346	     2.487	     2.693	     2.774	     2.244
awersja	     1.295	     2.636	     2.321	     2.346	     2.498
azyl	     3.162	     1.310	     1.557	     1.520	     1.284
babcia	     3.822	     1.199	     1.373	     1.490	     1.136
babunia	     3.732	     1.287	     1.414	     1.532	     1.227
bachor	     1.227	     2.594	     2.886	     2.790	     2.492
bać się	     1.168	     2.860	     3.294	     3.486	     2.706
badać	     2.275	     1.746	     1.458	     1.958	     1.438
bagatelizować	     1.565	     1.974	     1.940	     2.058	     2.110
bagażnik	     2.108	     1.570	     1.501	     1.739	     1.499
bagno	     1.300	     2.263	     2.383	     2.369	     2.361
bajka	     3.601	     1.283	     1.416	     1.460	     1.206
bajkowy	     3.685	     1.263	     1.430	     1.425	     1.143
balkon	     2.832	     1.278	     1.296	     1.272	     1.231
balon	     2.862	     1.282	     1.342	     1.436	     1.314
balsam	     3.540	     1.189	     1.375	     1.329	     1.180
bałaganiarski	     1.537	     2.286	     2.029	     2.206	     2.419
bałaganiarstwo	     1.383	     2.612	     2.391	     2.514	     2.347
bałaganić	     1.560	     2.541	     2.137	     2.478	     2.159
bambus	     2.342	     1.296	     1.293	     1.450	     1.313
banalny	     1.669	     1.903	     1.954	     2.042	     1.910
bandaż	     1.726	     1.604	     1.790	     1.973	     1.676
bandyta	     1.212	     3.199	     2.671	     3.305	     2.768
bandzior	     1.203	     3.223	     2.709	     3.165	     2.671
bandżo	     2.562	     1.592	     1.559	     1.724	     1.450
baner	     1.750	     1.646	     1.541	     1.743	     1.584
bank	     2.200	     1.704	     1.467	     1.941	     1.449
bankiet	     3.393	     1.398	     1.411	     1.525	     1.247
bankrut	     1.139	     2.737	     3.199	     3.047	     2.723
bar	     2.546	     1.569	     1.537	     1.741	     1.411
baran	     1.906	     1.514	     1.643	     1.781	     1.722
barbarzyńca	     1.377	     2.857	     2.426	     3.156	     2.497
bardzo	     3.282	     1.437	     1.383	     1.853	     1.265
barokowy	     2.186	     1.602	     1.558	     1.910	     1.464
baron	     2.501	     1.633	     1.453	     1.811	     1.381
bas	     2.658	     1.538	     1.495	     2.099	     1.302
basen	     2.958	     1.495	     1.609	     1.632	     1.328
bat	     1.442	     2.476	     2.116	     2.616	     2.386
bawełna	     2.565	     1.219	     1.311	     1.270	     1.267
bawół	     1.779	     1.547	     1.507	     1.687	     1.472
bazar	     2.197	     1.660	     1.618	     1.996	     1.433
bazooka	     1.805	     2.288	     1.877	     2.669	     1.922
bażant	     2.082	     1.317	     1.311	     1.361	     1.268
bąbel	     1.721	     1.880	     1.949	     2.129	     1.912
beczeć	     1.270	     2.375	     2.691	     2.411	     2.149
beczka	     1.990	     1.358	     1.288	     1.413	     1.447
bejcowanie	     1.778	     1.463	     1.443	     1.563	     1.437
Belgia	     2.608	     1.381	     1.415	     1.434	     1.251
belgijski	     2.734	     1.390	     1.496	     1.423	     1.288
belka	     1.793	     1.372	     1.350	     1.480	     1.386
berło	     2.717	     1.546	     1.442	     1.824	     1.325
bestia	     1.481	     2.636	     2.193	     3.051	     2.333
beton	     1.698	     1.811	     1.640	     1.836	     1.770
bez emocji	     1.741	     1.652	     1.887	     1.762	     1.571
bez entuzjazmu	     3.443	     1.335	     1.395	     1.619	     1.198
bez serca	     3.549	     1.417	     1.468	     1.659	     1.227
bez śladu	     3.663	     1.194	     1.441	     1.411	     1.164
bez życia	     1.270	     2.431	     2.769	     2.402	     2.058
bezbarwny	     1.301	     2.163	     2.667	     2.344	     1.941
bezbłędnie	     1.331	     3.040	     2.594	     3.220	     2.584
bezbłędny	     1.368	     2.865	     2.381	     2.801	     2.455
bezbolesny	     1.744	     1.563	     1.778	     1.827	     1.605
bezbronny	     1.323	     2.202	     2.686	     2.372	     1.791
bezcelowy	     3.557	     1.487	     1.635	     1.594	     1.256
bezczelność	     1.447	     2.690	     2.184	     2.925	     2.477
bezczelny	     1.320	     3.032	     2.506	     3.327	     2.684
bezinteresowność	     1.484	     2.309	     2.425	     2.469	     2.121
bezkarność	     1.243	     2.466	     2.678	     2.404	     2.262
bezlitosny	     1.174	     2.489	     2.860	     2.815	     2.638
bezład	     1.165	     2.523	     2.985	     2.941	     2.729
bezmyślność	     3.987	     1.331	     1.408	     1.486	     1.150
beznadziejność	     1.616	     2.009	     2.159	     2.298	     2.017
beznadziejny	     2.615	     1.437	     1.409	     1.707	     1.254
bezpieczny	     1.482	     2.357	     2.253	     2.422	     2.259
bezplanowy	     1.479	     2.367	     2.251	     2.360	     2.271
bezpośrednio	     3.599	     1.182	     1.404	     1.366	     1.195
bezpowrotnie	     1.233	     2.458	     2.779	     2.563	     2.360
bezpowrotny	     1.257	     2.548	     2.766	     2.569	     2.293
bezproblemowy	     1.218	     2.277	     2.876	     2.446	     2.094
bezradność	     1.262	     2.397	     2.649	     2.435	     2.359
bezradny	     1.181	     3.140	     2.757	     2.877	     2.772
bezrobocie	     1.244	     2.521	     2.731	     2.583	     2.437
bezrobotny	     1.458	     2.168	     2.187	     2.240	     2.200
bezsilny	     2.808	     1.479	     1.490	     1.568	     1.283
beztroski	     1.233	     2.259	     2.772	     2.441	     2.104
bezużyteczny	     1.203	     2.224	     2.903	     2.498	     2.074
bezwartościowy	     1.504	     2.468	     2.176	     2.678	     2.285
bezwstydność	     1.412	     2.606	     2.293	     2.776	     2.344
bezwstydny	     1.570	     2.591	     2.142	     2.968	     2.212
bezwzględny	     1.203	     2.224	     2.903	     2.498	     2.074
beżowy	     1.980	     1.328	     1.277	     1.331	     1.412
bęben	     2.235	     1.581	     1.509	     1.737	     1.381
bękart	     1.238	     2.520	     2.624	     2.484	     2.301
Białoruś	     1.821	     1.704	     1.890	     1.960	     1.832
biały	     2.424	     1.265	     1.305	     1.234	     1.251
Biblia	     2.587	     1.425	     1.443	     1.579	     1.296
bić	     1.243	     3.235	     2.588	     3.252	     2.657
bieda	     1.211	     2.764	     3.098	     2.914	     2.432
biedak	     1.266	     2.377	     2.732	     2.425	     2.065
biedny	     1.241	     2.353	     2.850	     2.436	     2.029
bieg	     2.806	     1.525	     1.491	     2.022	     1.271
biegacz	     2.919	     1.528	     1.462	     2.013	     1.284
bieganie	     3.095	     1.534	     1.501	     1.939	     1.301
biegły	     2.596	     1.416	     1.366	     1.647	     1.275
bielec	     1.737	     1.459	     1.500	     1.573	     1.574
bielizna	     3.059	     1.416	     1.412	     1.690	     1.316
bilans	     1.958	     1.651	     1.469	     1.759	     1.592
bilard	     3.150	     1.485	     1.491	     1.730	     1.292
biodro	     1.896	     1.361	     1.340	     1.410	     1.406
bitwa	     1.593	     2.495	     2.081	     2.795	     2.250
biuro	     1.965	     1.609	     1.527	     1.788	     1.545
biust	     3.545	     1.416	     1.453	     1.620	     1.228
biżuteria	     3.432	     1.441	     1.409	     1.584	     1.236
blady	     1.362	     2.181	     2.448	     2.333	     1.985
blef 	     1.567	     2.267	     1.973	     2.314	     1.955
blisko	     2.959	     1.326	     1.501	     1.442	     1.255
bliskość	     3.807	     1.436	     1.646	     1.553	     1.240
blizna	     1.502	     2.580	     2.089	     2.265	     2.392
blok	     1.918	     1.473	     1.498	     1.637	     1.424
blondyn	     2.519	     1.511	     1.482	     1.515	     1.424
blondynka	     2.601	     1.393	     1.470	     1.603	     1.385
bluzka	     2.544	     1.414	     1.445	     1.471	     1.342
bluźnierstwo	     1.190	     3.275	     2.792	     2.955	     2.714
błagać	     1.312	     2.574	     2.843	     2.778	     2.401
błaganie	     1.251	     2.851	     3.002	     2.843	     2.313
błazen	     1.790	     1.828	     2.020	     2.099	     1.867
błąd	     1.264	     2.360	     2.614	     2.414	     2.274
błądzić	     1.484	     2.307	     2.351	     2.495	     2.218
błogosławić	     2.955	     1.441	     1.470	     1.678	     1.265
błogosławieństwo	     3.450	     1.343	     1.517	     1.561	     1.222
błogosławiony	     3.429	     1.433	     1.427	     1.708	     1.256
błogostan	     3.694	     1.405	     1.541	     1.559	     1.185
błogość	     4.000	     1.320	     1.400	     1.486	     1.146
błotnisty	     1.567	     1.907	     2.100	     2.113	     1.864
błoto	     1.625	     1.960	     2.163	     2.143	     1.796
błyskotliwość	     3.850	     1.426	     1.418	     1.558	     1.188
błyskotliwy	     3.796	     1.445	     1.423	     1.618	     1.234
błyszczeć	     3.186	     1.531	     1.473	     1.824	     1.293
boa	     1.493	     2.407	     2.009	     2.553	     2.112
boczek	     2.428	     1.545	     1.471	     1.817	     1.503
bodziec	     2.288	     1.645	     1.612	     1.855	     1.491
bogactwa	     3.408	     1.509	     1.460	     1.748	     1.311
bogactwo	     3.687	     1.448	     1.391	     1.636	     1.223
bogaty	     3.625	     1.474	     1.496	     1.785	     1.246
bogobojny	     1.828	     1.701	     1.919	     2.003	     1.853
bohater	     3.883	     1.435	     1.467	     1.633	     1.211
boja	     1.918	     1.322	     1.295	     1.373	     1.349
bojaźliwy	     1.294	     2.442	     2.630	     2.431	     2.198
bojkot	     1.626	     2.277	     2.120	     2.766	     2.204
bojler	     2.016	     1.530	     1.500	     1.693	     1.449
bok	     1.813	     1.443	     1.403	     1.557	     1.455
bokser	     1.887	     2.061	     1.764	     2.477	     1.821
bolesny	     1.169	     2.767	     3.307	     3.307	     2.706
bomba	     1.377	     2.857	     2.426	     3.156	     2.497
bomba atomowa	     1.297	     3.329	     2.858	     3.548	     2.831
bon	     3.103	     1.396	     1.527	     1.526	     1.273
Bośnia 	     2.224	     1.406	     1.336	     1.471	     1.469
Boże Narodzenie	     3.889	     1.371	     1.526	     1.537	     1.222
bóg	     3.413	     1.502	     1.442	     1.808	     1.285
ból	     1.156	     2.859	     3.389	     3.471	     2.799
ból brzucha	     1.141	     2.592	     3.131	     3.172	     2.927
ból gardła	     1.224	     2.673	     2.746	     2.642	     2.657
ból głowy	     1.173	     2.793	     3.143	     3.276	     2.718
ból w krzyżu	     1.184	     2.762	     3.157	     3.226	     2.787
ból zęba	     1.162	     2.828	     3.342	     3.402	     2.831
brać prysznic	     3.521	     1.265	     1.433	     1.379	     1.184
brak	     1.346	     2.216	     2.625	     2.413	     1.891
brak pewności siebie	     1.232	     2.554	     2.802	     2.674	     2.324
brama	     2.359	     1.338	     1.349	     1.520	     1.292
brat	     3.536	     1.447	     1.580	     1.545	     1.230
bratanek	     3.064	     1.263	     1.397	     1.395	     1.298
braterstwo	     3.746	     1.396	     1.431	     1.627	     1.206
brawa	     3.545	     1.481	     1.456	     1.816	     1.315
brawo	     3.533	     1.474	     1.436	     1.783	     1.299
brąz	     1.979	     1.615	     1.504	     1.885	     1.600
brązowy	     1.886	     1.344	     1.335	     1.419	     1.404
breja	     1.504	     2.333	     2.201	     2.320	     2.404
broda	     1.916	     1.452	     1.379	     1.597	     1.391
brodawka	     1.565	     1.940	     1.978	     2.061	     2.021
broić	     1.742	     2.079	     2.031	     2.514	     1.921
bronić	     2.916	     1.489	     1.481	     2.048	     1.325
bronowanie	     1.882	     1.620	     1.626	     1.808	     1.584
broń	     1.671	     2.523	     2.016	     2.740	     2.035
broszka	     2.289	     1.265	     1.248	     1.414	     1.304
broszura	     2.004	     1.607	     1.463	     1.723	     1.538
brud	     1.249	     2.458	     2.560	     2.324	     2.385
brudny	     1.200	     2.426	     2.696	     2.398	     2.237
brutalność	     1.176	     3.323	     2.861	     3.445	     2.824
brutalny	     1.243	     3.360	     2.793	     3.448	     2.848
brutto	     1.674	     1.779	     1.702	     1.883	     1.660
bryła	     1.902	     1.374	     1.298	     1.360	     1.418
brytyjski	     2.579	     1.440	     1.439	     1.545	     1.296
bryza	     3.044	     1.470	     1.567	     1.633	     1.313
brzdąc	     2.990	     1.404	     1.388	     1.569	     1.330
brzęczeć	     1.654	     2.066	     1.936	     2.166	     1.929
brzęczenie	     1.584	     2.144	     2.023	     2.140	     2.163
brzmieć	     2.536	     1.434	     1.463	     1.644	     1.271
brzoskwinia	     3.237	     1.277	     1.452	     1.523	     1.263
brzozowy	     2.642	     1.214	     1.287	     1.210	     1.289
brzuch	     1.808	     1.470	     1.409	     1.601	     1.429
brzuchal	     1.721	     1.963	     2.078	     2.101	     1.950
brzydki	     1.212	     2.490	     2.554	     2.411	     2.285
brzydzić	     1.158	     2.677	     3.160	     3.217	     2.688
brzytwa	     1.582	     2.408	     2.061	     2.767	     2.275
buczyna	     1.877	     1.446	     1.453	     1.509	     1.336
Budda	     2.344	     1.389	     1.360	     1.579	     1.280
budowa	     2.311	     1.635	     1.495	     1.760	     1.405
budować	     3.122	     1.519	     1.448	     1.733	     1.308
budynek	     2.361	     1.363	     1.348	     1.520	     1.286
budzik	     1.499	     2.683	     2.055	     2.220	     2.264
budżet	     2.284	     1.697	     1.526	     2.075	     1.416
bufor	     2.051	     1.498	     1.493	     1.670	     1.458
bujać	     2.906	     1.521	     1.459	     1.687	     1.389
bujać się	     2.968	     1.462	     1.421	     1.557	     1.369
buk	     2.520	     1.295	     1.363	     1.479	     1.228
bukiet	     3.361	     1.345	     1.540	     1.552	     1.250
bukowy	     2.448	     1.297	     1.258	     1.337	     1.239
buldożer	     1.679	     2.265	     1.891	     2.649	     2.103
bulion	     2.384	     1.280	     1.231	     1.301	     1.229
bulwa	     1.863	     1.368	     1.350	     1.389	     1.446
bułeczka	     3.184	     1.294	     1.370	     1.345	     1.264
Bułgaria	     2.482	     1.566	     1.532	     1.671	     1.472
bunkier	     1.811	     1.912	     1.815	     2.267	     1.819
bunt	     1.638	     2.540	     2.071	     2.946	     2.098
buntowniczy	     1.898	     2.270	     1.845	     2.627	     1.864
buntownik	     1.862	     2.372	     1.852	     2.619	     1.794
buraczany	     1.866	     1.529	     1.554	     1.764	     1.620
burdel	     1.435	     2.612	     2.686	     2.804	     2.315
burza	     1.878	     2.016	     1.832	     2.583	     1.870
burzliwy	     1.654	     2.311	     2.089	     2.800	     2.081
burzyć się	     1.457	     2.581	     2.274	     2.769	     2.282
but	     2.325	     1.278	     1.242	     1.396	     1.241
butelka	     2.244	     1.311	     1.316	     1.321	     1.379
buzdygan	     2.268	     1.813	     1.513	     1.990	     1.490
być karmionym	     2.401	     1.400	     1.484	     1.653	     1.430
bydlę	     1.558	     1.955	     1.863	     2.021	     2.178
bydło	     1.592	     2.006	     2.162	     2.217	     2.043
byk	     2.102	     1.812	     1.456	     2.013	     1.510
było	     1.778	     1.560	     1.612	     1.811	     1.702
bystrość	     3.743	     1.480	     1.454	     1.575	     1.231
bzyczeć	     1.634	     2.090	     1.974	     2.167	     1.949
całkiem	     2.313	     1.363	     1.342	     1.542	     1.288
całkowity	     2.532	     1.371	     1.353	     1.675	     1.252
całować	     4.299	     1.256	     1.379	     1.423	     1.139
cały	     2.662	     1.358	     1.336	     1.610	     1.246
car	     2.262	     1.928	     1.687	     2.377	     1.609
cebula	     2.078	     1.505	     1.441	     1.618	     1.586
cel	     3.531	     1.351	     1.398	     1.590	     1.191
cela	     1.236	     2.493	     2.669	     2.351	     2.220
celny	     2.812	     1.467	     1.393	     1.706	     1.253
celować	     2.312	     1.744	     1.525	     2.240	     1.510
cement	     2.008	     1.393	     1.382	     1.560	     1.371
cena	     1.685	     1.901	     1.758	     2.074	     1.791
cenić	     2.914	     1.470	     1.391	     1.665	     1.257
cent	     2.206	     1.375	     1.295	     1.379	     1.508
centrum	     2.676	     1.571	     1.460	     1.895	     1.308
cep	     1.538	     1.983	     2.101	     2.218	     1.982
cera	     2.071	     1.655	     1.558	     1.833	     1.522
cesarz	     2.626	     1.743	     1.558	     2.118	     1.470
cham	     1.126	     3.314	     2.923	     3.126	     2.816
chamski	     1.109	     3.355	     2.897	     3.187	     2.807
chamstwo	     1.115	     3.342	     3.114	     3.380	     3.041
chaos	     1.454	     2.627	     2.482	     2.601	     2.181
charakter	     2.947	     1.472	     1.416	     1.959	     1.276
chata	     2.178	     1.295	     1.294	     1.455	     1.313
chcenie	     2.648	     1.546	     1.483	     2.090	     1.335
chcieć	     3.134	     1.561	     1.484	     1.848	     1.331
chciwość	     1.219	     3.252	     2.720	     3.110	     2.650
chciwy	     1.315	     2.950	     2.354	     2.890	     2.535
chełpliwy	     1.527	     2.402	     2.000	     2.052	     2.177
chęć	     3.461	     1.459	     1.436	     1.647	     1.289
chili	     2.458	     1.631	     1.588	     2.115	     1.409
chirurgia	     1.770	     2.258	     1.865	     2.670	     1.947
chleb	     3.439	     1.225	     1.423	     1.426	     1.221
chlor	     1.578	     1.852	     1.953	     2.182	     1.839
chłodny	     1.599	     1.861	     1.874	     1.968	     1.991
chłopak	     3.470	     1.413	     1.445	     1.620	     1.263
chłód	     1.525	     2.123	     1.970	     2.080	     2.155
chmura	     2.141	     1.498	     1.489	     1.591	     1.425
chmury	     2.734	     1.304	     1.338	     1.349	     1.302
chodaki	     2.064	     1.450	     1.443	     1.577	     1.442
chodzenie	     2.713	     1.484	     1.562	     1.549	     1.257
chodzić	     2.764	     1.409	     1.447	     1.568	     1.262
choleryczność	     1.256	     3.008	     2.572	     2.840	     2.378
chomik	     2.410	     1.428	     1.445	     1.560	     1.399
choroba	     1.133	     2.784	     3.143	     3.186	     2.840
choroba morska	     1.242	     2.516	     2.667	     2.397	     2.305
chorobliwy	     1.218	     2.619	     2.854	     2.634	     2.227
chorowitość	     1.233	     2.665	     2.973	     2.896	     2.422
chorowity	     1.225	     2.465	     2.743	     2.458	     2.258
Chorwacja	     2.999	     1.472	     1.570	     1.613	     1.314
chory	     1.194	     2.347	     2.893	     2.451	     2.115
chór	     2.587	     1.398	     1.379	     1.513	     1.268
chrapać	     1.422	     2.322	     1.858	     2.040	     2.528
chrom	     2.101	     1.631	     1.530	     1.785	     1.480
chronić	     3.512	     1.375	     1.410	     1.603	     1.228
chroniony	     2.766	     1.504	     1.561	     1.646	     1.288
chrupać	     2.771	     1.543	     1.476	     1.821	     1.374
chrząszcz	     1.573	     1.931	     2.007	     2.063	     1.996
chrzcić	     2.567	     1.464	     1.454	     1.575	     1.313
chrzest	     2.486	     1.543	     1.510	     1.637	     1.387
chuchać	     1.923	     1.358	     1.350	     1.464	     1.404
chuderlawy	     1.284	     2.325	     2.784	     2.414	     2.026
chudy	     1.840	     1.782	     1.964	     1.982	     1.999
chuj	     1.177	     3.302	     2.783	     3.255	     2.668
chusta	     2.210	     1.364	     1.301	     1.415	     1.379
chwała	     3.605	     1.417	     1.458	     1.654	     1.235
chwast	     1.507	     2.269	     2.349	     2.342	     2.260
chwiejny	     1.433	     2.336	     2.540	     2.632	     2.174
chwila	     2.196	     1.422	     1.442	     1.523	     1.338
chwycić	     2.216	     1.685	     1.452	     1.917	     1.431
chwytać	     2.202	     1.661	     1.570	     1.985	     1.404
chwytać się	     2.119	     1.444	     1.441	     1.605	     1.511
chytry	     1.353	     2.731	     2.351	     2.807	     2.447
ciało	     2.430	     1.485	     1.452	     1.663	     1.301
ciasny	     1.505	     2.052	     2.176	     2.239	     1.969
ciasteczko	     3.595	     1.249	     1.449	     1.533	     1.191
ciastko	     3.634	     1.274	     1.430	     1.478	     1.194
ciasto	     3.681	     1.221	     1.363	     1.524	     1.187
ciąć	     1.556	     2.348	     1.999	     2.561	     1.985
ciągle	     1.783	     1.631	     1.517	     1.667	     1.564
ciągnąć	     1.871	     1.832	     1.761	     1.989	     1.713
cichy	     1.928	     1.518	     1.646	     1.599	     1.530
ciekawy	     3.719	     1.331	     1.319	     1.539	     1.147
cielę	     1.788	     1.552	     1.754	     1.799	     1.625
ciemnota	     1.264	     2.325	     2.753	     2.381	     2.152
ciemny	     1.707	     1.682	     1.762	     1.975	     1.695
cienki	     1.738	     1.740	     1.850	     2.039	     1.882
cień	     1.979	     1.539	     1.653	     1.803	     1.680
ciepło	     3.580	     1.425	     1.443	     1.546	     1.193
cierń	     1.310	     2.683	     2.652	     2.637	     2.386
cierpieć	     1.162	     2.825	     3.283	     3.345	     2.875
cierpienie	     1.163	     2.793	     3.432	     3.493	     2.764
cierpliwość	     3.369	     1.396	     1.580	     1.655	     1.276
cięcie	     1.794	     1.917	     1.915	     2.490	     1.854
cięty	     1.597	     2.499	     2.128	     2.460	     2.026
ciężarna	     2.704	     1.438	     1.423	     1.572	     1.417
ciężarówka	     1.734	     1.852	     1.660	     1.979	     1.745
ciężki	     1.479	     2.445	     2.075	     2.546	     2.079
ciężki (stan)	     1.191	     2.533	     3.038	     3.085	     2.817
ciężko	     1.440	     2.602	     2.204	     2.308	     2.337
cios	     1.504	     2.468	     2.176	     2.678	     2.285
ciotka	     2.218	     1.553	     1.541	     1.770	     1.439
cipa	     1.309	     2.541	     2.813	     2.840	     2.460
cisnąć	     1.555	     2.381	     2.028	     2.619	     2.060
cisnąć się 	     1.472	     2.783	     2.064	     2.213	     2.317
ciśnienie	     1.859	     1.974	     1.874	     2.345	     1.889
cmentarz	     1.180	     2.469	     2.650	     2.592	     2.481
cnota	     3.217	     1.536	     1.496	     1.905	     1.309
cnotliwy	     2.351	     1.638	     1.543	     1.946	     1.515
codzienny	     1.879	     1.374	     1.386	     1.375	     1.424
coś	     2.078	     1.505	     1.441	     1.618	     1.586
córka	     3.454	     1.252	     1.465	     1.406	     1.178
cud	     4.004	     1.316	     1.369	     1.539	     1.194
cukier	     3.085	     1.268	     1.383	     1.390	     1.297
cukierek	     3.702	     1.314	     1.460	     1.439	     1.228
cukierki	     3.649	     1.303	     1.446	     1.446	     1.235
curry	     2.865	     1.525	     1.484	     1.507	     1.351
cwany	     1.648	     2.350	     2.015	     2.772	     2.142
cycek	     2.434	     1.773	     1.700	     2.152	     1.582
cygaro	     1.998	     1.512	     1.454	     1.643	     1.468
cyklon	     1.526	     2.446	     2.098	     2.793	     2.402
cymbał	     1.461	     2.399	     2.222	     2.418	     2.287
cyna	     1.893	     1.320	     1.307	     1.375	     1.415
cynamon	     2.705	     1.298	     1.330	     1.312	     1.256
cyniczny	     1.628	     2.371	     2.065	     2.644	     2.258
cynk	     2.004	     1.397	     1.336	     1.571	     1.316
cyrk	     2.117	     1.798	     1.782	     2.042	     1.601
cytryna	     2.473	     1.543	     1.511	     1.611	     1.462
cywilizowany	     2.835	     1.465	     1.431	     1.651	     1.314
cywilny	     1.811	     1.460	     1.428	     1.566	     1.381
czajnik	     1.968	     1.350	     1.306	     1.388	     1.380
czapka	     2.377	     1.295	     1.273	     1.426	     1.277
czapla	     2.116	     1.321	     1.279	     1.349	     1.365
czar	     3.416	     1.424	     1.498	     1.526	     1.263
czara	     2.191	     1.591	     1.513	     1.717	     1.422
Czarnogóra	     2.293	     1.442	     1.392	     1.555	     1.408
czarny	     2.240	     1.569	     1.542	     1.865	     1.402
czarownica	     1.718	     2.235	     1.941	     2.532	     2.022
czas	     1.759	     1.619	     1.496	     1.615	     1.596
czasopismo	     2.578	     1.297	     1.335	     1.435	     1.241
czaszka	     1.585	     1.905	     1.823	     2.112	     1.852
czcić	     2.508	     1.689	     1.538	     1.926	     1.518
Czechy	     2.824	     1.514	     1.527	     1.523	     1.392
czekać	     1.468	     2.026	     2.077	     2.195	     2.023
czekanie	     1.495	     1.981	     2.076	     2.145	     2.062
