	Valence	Arousal	Dominance
dios	     5.019	     4.978	     4.933
diosa	     6.284	     5.306	     5.401
diploma	     7.133	     5.851	     5.762
diputada	     2.669	     5.676	     4.318
director	     4.111	     5.262	     4.578
directora	     5.513	     5.657	     5.037
disco	     7.328	     5.205	     5.665
discusión	     2.234	     6.149	     3.849
diseñador	     5.646	     4.583	     5.302
diseñadora	     6.844	     5.077	     5.924
diseño	     5.910	     5.383	     5.351
disertación	     3.783	     5.188	     4.312
disgustado	     2.337	     5.473	     3.723
disgusto	     1.783	     6.133	     3.299
disminución	     3.450	     5.122	     4.231
disminuido	     3.548	     4.425	     4.158
disparate	     5.568	     5.387	     4.981
distante	     2.244	     5.384	     3.505
distorsión	     3.204	     5.860	     3.790
distrito	     5.010	     4.569	     5.100
disturbio	     3.042	     6.282	     3.731
diversión	     7.951	     6.414	     5.907
divinidad	     5.409	     5.601	     5.033
división	     3.616	     4.638	     4.480
divorciado	     3.038	     4.448	     3.994
divorcio	     1.715	     5.936	     3.152
doctor	     5.213	     5.291	     4.616
doctora	     5.668	     5.490	     4.949
documento	     5.015	     4.229	     5.203
dólar	     6.058	     5.494	     5.317
dolencia	     2.141	     5.693	     3.433
dolor	     1.827	     6.056	     3.092
dorada	     6.352	     5.132	     5.471
dormir	     6.922	     5.043	     5.501
dormitorio	     6.777	     5.325	     5.300
dramatismo	     2.627	     5.302	     3.756
drogadicta	     2.219	     5.635	     3.537
dromedario	     5.762	     5.334	     5.043
duda	     2.443	     6.464	     3.485
dudar	     2.564	     6.434	     3.413
duelo	     2.942	     6.464	     3.743
dureza	     3.685	     4.919	     4.412
duro	     3.953	     4.939	     4.615
echar	     3.454	     4.902	     4.439
ecologista	     7.136	     5.187	     5.527
edificio	     4.972	     4.299	     5.092
editora	     6.019	     5.507	     5.172
educación	     6.876	     6.001	     5.318
educador	     6.096	     5.522	     5.373
educadora	     6.509	     4.861	     5.733
efectividad	     6.981	     5.341	     5.651
efectivo	     6.562	     4.854	     5.564
efecto	     5.326	     5.242	     4.873
egoísmo	     2.288	     5.988	     4.103
egoísta	     2.189	     5.992	     4.085
ejecución	     1.844	     6.587	     3.194
ejecutivo	     4.807	     4.807	     4.987
ejemplar	     5.380	     4.400	     5.334
ejemplo	     5.206	     4.432	     5.145
ejercicio	     6.923	     5.572	     5.794
ejército	     2.832	     6.380	     3.688
electricidad	     5.561	     5.562	     4.824
electrodoméstico	     4.808	     4.431	     5.172
elefante	     6.123	     5.223	     5.249
elegante	     6.867	     5.716	     5.730
eliminación	     2.486	     5.921	     3.503
elogio	     7.368	     6.183	     5.512
embajada	     5.081	     4.564	     5.093
embarazada	     7.201	     5.978	     5.206
embarazo	     6.782	     6.094	     5.018
emoción	     6.428	     5.994	     5.140
emperador	     3.738	     4.991	     4.564
emperatriz	     5.325	     4.363	     5.304
empleo	     7.277	     6.208	     5.344
empresaria	     5.565	     5.198	     4.974
empresario	     4.880	     4.864	     5.066
enamorado	     7.888	     6.508	     5.786
encaje	     5.758	     5.122	     5.372
encanto	     7.102	     5.106	     5.652
encargado	     5.150	     4.878	     5.092
enchufe	     4.306	     4.892	     4.768
encuentro	     6.893	     5.961	     5.245
enemigo	     2.100	     6.318	     4.053
enérgico	     7.514	     6.287	     5.736
enfadado	     2.182	     6.452	     3.806
enfado	     2.067	     6.619	     3.776
enfermedad	     1.698	     6.406	     3.015
enfermera	     6.088	     5.323	     5.145
enfermero	     5.201	     5.310	     4.401
enfermo	     1.713	     5.340	     3.116
enfurecido	     2.146	     6.731	     3.649
engaño	     1.769	     6.626	     3.563
engreído	     2.534	     5.471	     4.275
enigma	     5.523	     5.551	     4.778
enmienda	     5.226	     4.506	     5.158
enredo	     3.388	     4.874	     4.427
ensalada	     5.914	     4.875	     5.411
enterrador	     2.594	     5.587	     3.516
entierro	     1.591	     6.170	     2.839
entorno	     5.278	     5.346	     4.958
entrometido	     3.340	     5.275	     4.442
entusiasmo	     7.783	     6.486	     5.719
episodio	     6.293	     5.383	     5.272
época	     4.913	     4.942	     4.681
erección	     6.991	     5.368	     5.588
erizo	     5.904	     4.872	     5.370
erótico	     6.849	     5.271	     5.717
error	     2.259	     6.038	     3.544
erudito	     6.388	     5.315	     5.547
escala	     4.720	     4.357	     5.132
escándalo	     2.998	     6.382	     3.974
escaparate	     5.919	     4.962	     5.442
escarabajo	     3.284	     5.264	     4.296
escasez	     1.968	     5.694	     3.302
escena	     5.752	     5.418	     4.956
escenario	     6.242	     5.269	     5.298
escéptico	     4.139	     4.964	     4.742
esclavo	     1.889	     6.114	     3.475
escoba	     4.656	     4.334	     5.103
esconder	     3.652	     5.014	     4.308
escopeta	     2.257	     6.644	     3.433
escorbuto	     2.712	     5.429	     3.743
escoria	     2.606	     5.483	     4.328
escorpión	     2.388	     6.133	     3.429
escote	     5.265	     4.310	     5.321
escritor	     5.934	     4.975	     5.070
escritora	     6.772	     5.061	     5.539
escudo	     4.851	     5.163	     4.778
escuela	     6.218	     5.429	     5.214
escultor	     6.148	     4.890	     5.316
escultora	     5.895	     4.874	     5.373
esfera	     4.981	     4.397	     5.086
esfuerzo	     6.857	     5.917	     5.286
espacio	     5.778	     5.365	     4.679
espada	     2.502	     6.648	     3.523
espanto	     2.478	     6.498	     3.585
espantoso	     2.350	     5.833	     3.481
esparadrapo	     3.994	     4.532	     4.735
esperanza	     7.843	     5.701	     5.987
esperanzado	     7.324	     6.138	     5.461
espina	     3.739	     4.853	     4.502
espíritu	     4.078	     5.683	     3.885
esposa	     6.188	     5.093	     5.418
esposo	     6.560	     5.039	     5.485
espuma	     5.146	     4.344	     5.214
esqueleto	     3.448	     5.013	     4.174
esquina	     4.466	     4.587	     4.843
estado	     3.932	     5.318	     4.564
estafador	     1.829	     6.596	     3.668
estallido	     2.986	     6.599	     3.451
estancado	     2.323	     5.934	     3.700
estantería	     5.082	     4.284	     5.155
estatua	     5.464	     4.599	     5.289
esterilla	     5.493	     4.639	     5.217
estiércol	     2.048	     5.226	     4.275
estilista	     6.017	     5.563	     5.235
estilo	     6.498	     4.962	     5.569
estimulación	     6.258	     5.436	     5.311
estímulo	     5.598	     5.404	     4.948
estómago	     4.336	     4.709	     4.760
estrella	     6.528	     4.792	     5.540
estremecerse	     3.494	     5.663	     3.623
estrés	     2.212	     6.189	     3.456
estuche	     4.848	     4.361	     5.185
estufa	     5.831	     5.072	     5.098
estúpido	     2.502	     5.647	     4.233
eternidad	     7.073	     6.123	     5.252
ética	     5.807	     5.492	     5.109
etiqueta	     3.894	     5.391	     4.633
eufórico	     7.749	     6.450	     5.780
evolución	     6.238	     5.829	     5.038
excelencia	     7.021	     6.083	     5.430
exceso	     4.489	     5.052	     4.521
excitado	     6.844	     6.166	     5.411
exclusión	     1.863	     6.424	     3.335
excusa	     3.506	     5.285	     4.531
exhibición	     6.143	     4.978	     5.358
exigencia	     4.041	     5.729	     4.553
exilio	     1.859	     6.054	     3.170
éxito	     7.678	     6.511	     5.684
explotación	     1.942	     6.329	     3.882
explotador	     1.829	     6.596	     3.668
exquisito	     7.131	     5.249	     5.497
éxtasis	     6.878	     6.060	     5.455
exterior	     7.202	     5.773	     5.653
extinción	     1.808	     6.416	     3.154
extrañeza	     2.358	     5.618	     3.515
extraordinario	     7.682	     5.798	     5.761
extraterrestre	     3.623	     5.952	     3.792
fábrica	     4.584	     4.576	     4.953
facha	     2.398	     5.607	     4.212
fácil	     6.704	     4.972	     5.721
facilidad	     6.420	     5.594	     5.121
facultad	     6.224	     5.599	     5.143
faisán	     5.172	     5.154	     4.848
faja	     4.741	     4.441	     5.047
falda	     6.249	     5.151	     5.326
falso	     2.268	     5.876	     4.038
fama	     6.302	     5.788	     5.097
famélico	     2.329	     5.411	     3.531
familia	     7.693	     6.155	     5.624
famosa	     5.456	     5.506	     4.864
famoso	     5.507	     5.093	     5.018
fantasía	     7.309	     6.366	     5.497
farmacéutica	     4.702	     5.112	     4.785
faro	     5.727	     5.013	     4.946
farol	     3.673	     5.015	     4.596
fascinación	     6.939	     5.135	     5.756
fascinante	     7.362	     5.573	     5.671
fascinar	     7.302	     6.208	     5.477
fase	     5.141	     5.251	     4.863
fastidiar	     2.517	     6.063	     4.202
fatalidad	     1.758	     5.927	     3.041
fatigado	     3.108	     4.342	     4.394
favor	     6.557	     4.855	     5.748
faz	     5.019	     4.367	     5.188
fealdad	     3.284	     4.431	     4.450
feliz	     8.032	     6.178	     5.961
felpudo	     4.966	     4.363	     5.249
feo	     3.126	     4.225	     4.396
festivo	     8.051	     6.201	     5.952
fétido	     1.990	     5.509	     4.116
fiebre	     2.666	     5.571	     3.610
firma	     5.667	     5.448	     5.127
firmamento	     6.000	     5.284	     5.275
flamenco	     6.340	     5.011	     5.545
flecha	     2.937	     6.478	     3.511
flemón	     2.056	     5.373	     4.201
flexible	     6.252	     4.983	     5.463
flor	     7.338	     5.366	     5.643
florecer	     7.548	     5.601	     5.846
foca	     6.772	     5.322	     5.634
foco	     5.033	     4.478	     5.067
fofo	     4.744	     4.412	     5.047
folleto	     4.719	     4.383	     5.157
follón	     2.777	     6.507	     3.679
fontanero	     4.788	     4.346	     5.161
forastero	     5.309	     4.524	     5.231
fortuito	     6.006	     5.260	     5.074
fotógrafa	     6.439	     4.952	     5.448
fotógrafo	     6.471	     5.028	     5.535
fracaso	     1.742	     6.284	     3.080
fracción	     4.678	     4.357	     5.051
fragancia	     6.523	     4.838	     5.617
fragilidad	     2.364	     6.218	     3.394
fraude	     1.824	     6.538	     3.746
fregona	     4.066	     4.477	     4.808
frialdad	     2.700	     5.386	     3.884
frío	     3.454	     4.221	     4.478
frustración	     1.863	     6.439	     3.281
frustrado	     2.287	     5.775	     3.600
fruto	     6.636	     4.869	     5.594
fuego	     2.881	     6.711	     3.401
fuerte	     5.974	     5.460	     5.256
fuerza	     6.306	     5.768	     5.089
fugitivo	     2.877	     6.548	     3.471
función	     5.229	     5.208	     4.956
funeral	     1.744	     5.096	     3.251
furcia	     2.748	     5.278	     4.258
furgoneta	     5.268	     5.299	     4.838
fusil	     1.963	     6.597	     3.292
fútbol	     5.902	     5.583	     5.187
futbolista	     5.613	     5.542	     5.006
futuro	     6.734	     6.037	     5.069
gabardina	     5.177	     4.341	     5.318
gacela	     5.828	     5.181	     5.329
gafas	     5.047	     4.236	     5.173
galardón	     7.472	     6.304	     5.578
gallina	     3.841	     5.259	     4.277
gamberro	     2.543	     5.934	     4.033
ganado	     5.664	     5.442	     5.003
ganadora	     7.548	     6.501	     5.546
ganancias	     7.472	     5.928	     5.655
ganar	     7.734	     6.203	     5.733
gangrena	     1.989	     6.432	     3.404
ganso	     5.004	     4.626	     5.108
garfio	     4.226	     5.031	     4.382
garrapata	     2.225	     5.670	     3.707
garrote	     3.495	     5.038	     4.342
garza	     5.479	     4.831	     5.398
gatito	     7.384	     5.957	     5.647
gato	     6.839	     5.222	     5.525
gaviota	     3.785	     5.316	     4.456
gélido	     4.202	     4.452	     4.817
gemido	     6.051	     5.646	     5.205
género	     4.794	     4.443	     5.003
generoso	     7.761	     6.321	     5.724
genial	     8.001	     6.166	     5.963
genialidad	     7.346	     5.784	     5.687
genio	     6.917	     5.440	     5.730
gente	     5.962	     5.631	     5.179
gerente	     4.208	     5.124	     4.618
gérmenes	     2.378	     5.769	     3.663
gestión	     4.511	     4.636	     4.909
gimnasio	     6.072	     5.549	     5.309
gimnasta	     6.043	     5.327	     5.376
glaciar	     5.447	     5.223	     4.782
glamour	     6.210	     5.268	     5.419
globo	     6.901	     5.301	     5.688
gloria	     7.334	     5.753	     5.666
gobernador	     2.606	     5.819	     3.970
goce	     8.008	     6.275	     5.941
golfista	     4.776	     4.381	     5.178
golfo	     3.983	     4.736	     4.755
golondrina	     6.363	     5.038	     5.453
golpe	     2.318	     6.249	     3.588
goma	     4.832	     4.381	     5.172
góndola	     6.683	     4.702	     5.574
gordo	     3.545	     4.235	     4.567
gorila	     5.826	     5.624	     4.860
gorra	     5.320	     4.397	     5.264
gorrión	     6.568	     5.052	     5.533
gorro	     5.612	     4.572	     5.398
gota	     4.761	     4.386	     5.018
gozar	     7.654	     6.391	     5.602
grado	     5.569	     5.434	     4.861
graduada	     8.103	     6.760	     5.979
graduado	     7.818	     6.481	     5.738
granada	     2.554	     6.572	     3.529
granja	     5.748	     5.342	     5.367
granjero	     5.482	     4.651	     5.187
grano	     2.697	     5.227	     4.282
grapadora	     4.777	     4.422	     5.142
grave	     1.759	     6.311	     2.894
grieta	     3.304	     5.892	     3.811
grillo	     5.089	     4.716	     5.096
grito	     2.904	     6.594	     3.649
grosero	     2.200	     5.848	     4.150
guadaña	     3.268	     6.222	     3.624
guante	     5.305	     4.377	     5.201
guantes	     5.353	     4.394	     5.287
guapa	     7.442	     5.769	     5.747
guapo	     7.259	     5.663	     5.613
guardaespaldas	     4.147	     4.944	     4.631
guardería	     7.019	     5.603	     5.705
guardia	     4.198	     5.137	     4.661
guardián	     5.718	     5.299	     5.201
guerra	     1.556	     6.898	     2.849
guerrero	     3.034	     6.428	     3.799
guillotina	     1.823	     6.594	     3.107
guiño	     6.791	     5.324	     5.671
guión	     6.163	     5.458	     5.158
gusano	     2.469	     5.425	     3.924
habilidad	     6.998	     5.528	     5.659
habitación	     6.064	     5.119	     5.389
habitante	     5.478	     4.703	     5.262
hábito	     5.103	     4.240	     5.205
hacha	     3.052	     6.511	     3.704
hada	     6.531	     5.151	     5.507
halcón	     5.627	     5.411	     4.736
hallazgo	     7.017	     5.796	     5.422
hamaca	     7.342	     5.443	     5.714
hambriento	     2.569	     5.584	     3.718
hamburguesa	     6.776	     5.501	     5.437
hámster	     5.519	     5.286	     5.103
harto	     3.187	     5.256	     4.493
hastío	     3.749	     4.619	     4.626
hechicero	     5.382	     5.456	     4.823
hedor	     2.186	     5.194	     4.257
heno	     4.638	     4.369	     5.141
heridas	     2.361	     5.537	     3.527
herido	     1.948	     5.324	     3.258
hermana	     7.486	     6.018	     5.757
hermano	     7.818	     6.299	     5.938
hermoso	     7.780	     6.391	     5.728
héroe	     7.308	     6.130	     5.729
heroína	     2.298	     6.097	     3.753
heroísmo	     6.090	     5.653	     5.204
herramienta	     5.211	     4.989	     5.083
herrero	     4.779	     4.393	     5.169
hervir	     4.707	     4.538	     5.059
hidalguía	     5.144	     4.757	     5.057
hielo	     5.408	     4.471	     5.318
hiena	     3.445	     6.231	     3.669
hierro	     4.753	     4.379	     5.163
hija	     7.059	     6.109	     5.223
hijo	     7.803	     6.396	     5.808
hipopótamo	     5.863	     5.703	     4.944
historia	     5.230	     5.082	     4.938
hogar	     7.677	     6.224	     5.550
hoguera	     5.936	     5.519	     4.844
hoja	     5.588	     4.608	     5.161
holgazán	     3.028	     5.004	     4.498
hombre	     5.896	     5.566	     5.134
homenaje	     6.888	     5.072	     5.171
homicida	     1.816	     6.679	     3.143
homicidio	     1.549	     6.938	     2.816
honesto	     7.143	     5.570	     5.699
hongo	     2.289	     5.521	     3.817
honor	     6.995	     6.182	     5.391
honradez	     8.006	     6.259	     5.952
horca	     2.333	     5.961	     3.616
hormiga	     4.656	     4.364	     5.169
hormigueo	     5.491	     5.607	     4.904
hormiguero	     4.391	     4.701	     4.741
hornear	     5.731	     4.818	     5.307
horquilla	     5.471	     4.569	     5.305
horror	     2.303	     6.788	     3.058
hospital	     2.479	     5.507	     3.619
hostil	     2.159	     6.064	     3.538
hotel	     6.531	     4.961	     5.491
huerto	     6.421	     4.682	     5.429
huevo	     5.323	     4.398	     5.219
humanidad	     7.148	     6.103	     5.317
humanismo	     6.244	     5.379	     5.287
humano	     6.207	     5.419	     5.168
humilde	     6.801	     4.763	     5.333
humillar	     1.762	     6.667	     3.654
humor	     7.756	     6.359	     5.848
hurgar	     3.073	     5.192	     4.092
idea	     7.163	     5.864	     5.751
idealismo	     4.909	     5.277	     4.897
identidad	     6.181	     5.253	     5.177
idiota	     2.712	     5.670	     4.226
ídolo	     6.923	     5.626	     5.647
iglesia	     4.003	     4.746	     4.739
ignorancia	     2.189	     5.809	     3.532
iguana	     4.781	     4.931	     4.855
imagen	     5.407	     5.310	     4.914
imaginar	     7.207	     6.134	     5.427
imán	     5.113	     4.334	     5.246
imparcial	     4.859	     4.485	     4.998
impermeable	     5.124	     4.331	     5.273
importación	     5.386	     4.619	     5.239
impotencia	     2.126	     6.125	     3.507
impotente	     2.356	     5.795	     3.751
impresionado	     6.511	     5.332	     5.311
impresora	     4.739	     4.345	     5.086
impureza	     3.175	     4.977	     4.269
incapacidad	     1.837	     5.980	     3.087
incendio	     1.966	     6.403	     2.900
incentivo	     7.152	     5.201	     5.672
incomodidad	     2.491	     5.771	     3.827
incordio	     3.246	     5.331	     4.456
incremento	     5.564	     5.336	     4.889
indecisión	     2.762	     6.392	     3.637
indefenso	     2.188	     5.963	     3.315
indicio	     4.712	     5.369	     4.506
indiferente	     3.504	     4.553	     4.503
indio	     5.346	     4.417	     5.250
industria	     4.206	     5.234	     4.723
infanta	     4.163	     4.672	     4.838
infección	     2.312	     6.035	     3.437
infeliz	     1.783	     5.156	     3.288
inferior	     2.238	     5.709	     3.449
inferioridad	     1.931	     6.027	     3.301
infiel	     1.878	     6.452	     3.757
infierno	     2.199	     6.591	     3.477
infinito	     5.267	     5.493	     4.462
inflación	     2.922	     5.284	     4.157
información	     6.117	     5.535	     5.198
informática	     5.149	     4.668	     5.184
informático	     5.189	     4.278	     5.338
informe	     3.870	     4.984	     4.611
ingeniero	     5.651	     4.717	     5.308
ingenio	     7.284	     6.232	     5.756
ingrediente	     5.854	     5.449	     5.373
ingresar	     3.669	     5.544	     3.787
ingreso	     5.943	     5.375	     4.899
inmaduro	     3.247	     5.114	     4.372
inmensidad	     5.116	     5.429	     4.430
inmoral	     2.321	     5.704	     4.121
innovación	     7.046	     5.842	     5.440
inocente	     5.636	     4.694	     5.151
inodoro	     4.034	     4.581	     4.873
inquieto	     5.112	     5.043	     5.038
insecto	     3.368	     5.368	     4.149
inseguridad	     1.935	     6.093	     3.148
inseguro	     2.426	     6.258	     3.374
insolente	     2.455	     5.731	     4.259
insomnio	     2.132	     5.974	     3.554
inspiración	     7.290	     6.019	     5.649
inspirado	     7.087	     5.692	     5.541
inspirar	     6.627	     5.254	     5.484
instancia	     4.702	     4.373	     5.139
instante	     5.819	     4.896	     5.238
institución	     3.703	     5.044	     4.462
instituto	     6.378	     5.064	     5.243
insulto	     1.936	     6.332	     3.921
intelecto	     6.956	     5.222	     5.847
intelectual	     6.060	     5.469	     5.369
intensidad	     5.957	     5.726	     5.047
interés	     6.169	     5.458	     5.438
interrupción	     3.376	     5.322	     4.474
íntimo	     6.634	     5.227	     5.288
intruso	     2.841	     6.736	     3.478
inundación	     1.912	     5.933	     3.068
inútil	     2.504	     5.528	     3.941
inválido	     2.376	     4.957	     3.670
invasión	     2.081	     6.572	     3.347
invasor	     2.319	     6.601	     3.551
invernadero	     5.623	     4.741	     5.069
invertir	     5.697	     5.658	     4.772
investigador	     6.696	     4.996	     5.648
investigadora	     6.252	     5.195	     5.525
invitación	     7.142	     5.557	     5.842
invitada	     6.706	     5.162	     5.486
inyección	     2.962	     5.628	     3.607
irritación	     2.781	     5.836	     4.327
irritar	     2.281	     6.104	     4.142
jabalí	     3.438	     6.249	     3.597
jaqueca	     2.247	     5.948	     3.612
jardín	     7.042	     5.123	     5.667
jardinero	     5.200	     4.287	     5.249
jarra	     5.122	     4.262	     5.227
jefe	     3.951	     5.336	     4.506
jerarquía	     2.524	     5.510	     4.269
jeringa	     2.924	     5.577	     3.615
jersey	     5.817	     4.878	     5.303
jirafa	     6.676	     5.503	     5.142
jornalera	     4.878	     4.393	     5.033
joven	     7.237	     6.195	     5.767
jovial	     7.407	     5.227	     5.824
joya	     6.882	     5.188	     5.848
jubilado	     5.697	     4.635	     4.922
júbilo	     7.795	     6.327	     5.739
jubiloso	     6.913	     5.393	     5.717
juego	     7.348	     6.203	     5.694
juez	     4.904	     4.828	     5.061
jugo	     5.535	     4.935	     5.311
juguete	     7.333	     5.861	     5.624
justicia	     6.614	     5.876	     5.201
juventud	     7.064	     6.097	     5.502
ketchup	     5.482	     4.522	     5.373
koala	     6.893	     5.419	     5.433
laberinto	     2.953	     6.528	     3.570
laboratorio	     5.084	     4.916	     5.048
lado	     4.633	     4.478	     4.971
ladrillo	     4.563	     4.506	     5.059
ladrón	     1.966	     6.669	     3.351
ladrona	     2.075	     6.590	     3.444
lagartija	     3.878	     5.111	     4.488
lagarto	     4.189	     4.661	     4.771
lago	     6.968	     5.293	     5.585
lágrima	     2.438	     5.238	     3.707
lamento	     2.063	     4.910	     3.494
lámpara	     5.487	     4.675	     5.242
lancha	     6.099	     5.096	     5.267
lánguido	     3.266	     4.212	     4.287
lanza	     3.293	     6.094	     4.079
lástima	     1.977	     5.059	     3.444
lata	     4.926	     4.393	     5.083
latido	     6.772	     5.742	     5.254
látigo	     2.974	     6.436	     3.739
lavabo	     4.704	     4.397	     5.159
leal	     7.295	     6.098	     5.683
leche	     5.426	     4.548	     5.226
lechera	     5.511	     4.933	     5.190
lechero	     5.338	     4.341	     5.335
lechuza	     5.668	     5.361	     4.814
legalidad	     5.324	     5.551	     4.926
lejos	     2.106	     5.777	     3.305
lentilla	     5.036	     5.016	     4.875
lento	     3.532	     4.931	     4.547
leñador	     5.059	     4.386	     5.208
león	     5.796	     5.817	     4.842
leopardo	     5.096	     6.120	     4.166
lepra	     2.075	     5.967	     3.400
lesbiana	     5.311	     4.331	     5.279
lesión	     2.217	     5.729	     3.353
letra	     6.456	     5.073	     5.312
leyenda	     5.936	     5.393	     4.867
libélula	     4.800	     4.872	     4.831
liberación	     7.690	     6.466	     5.644
liberar	     7.591	     6.418	     5.552
libertad	     7.955	     6.586	     5.874
libre	     7.739	     6.389	     5.723
librería	     6.936	     5.051	     5.852
libreta	     5.196	     4.324	     5.249
libro	     6.834	     5.374	     5.388
licenciada	     7.255	     5.472	     5.687
licenciado	     7.423	     6.468	     5.639
líder	     5.401	     5.169	     4.932
liebre	     5.799	     5.518	     5.231
liga	     5.218	     4.468	     5.092
lija	     4.726	     4.377	     5.103
lima	     5.122	     4.709	     5.003
limón	     5.449	     4.534	     5.384
limpiador	     5.292	     4.292	     5.197
lince	     5.839	     5.376	     4.894
linterna	     5.183	     4.456	     5.264
lío	     4.469	     5.474	     4.692
lira	     5.677	     4.622	     4.975
liso	     5.330	     4.412	     5.211
lista	     5.864	     5.650	     5.098
litro	     5.056	     4.256	     5.209
llama	     5.144	     5.464	     4.487
llamada	     6.454	     5.562	     5.289
llano	     4.991	     4.244	     5.171
llave	     5.850	     4.968	     5.297
lloriqueo	     2.251	     5.600	     3.551
llovizna	     5.167	     4.650	     4.755
lluvia	     4.657	     4.516	     4.690
lobo	     3.384	     6.652	     3.559
lóbrego	     3.356	     5.290	     3.756
loca	     2.926	     6.295	     3.563
local	     5.435	     5.034	     5.074
loco	     2.962	     6.200	     3.486
logro	     7.895	     6.488	     5.722
lombriz	     2.415	     5.069	     4.316
loro	     6.858	     5.178	     5.694
lotería	     7.298	     5.937	     5.451
lucha	     2.705	     6.415	     3.812
luchador	     5.444	     5.296	     4.963
luciérnaga	     5.561	     5.245	     5.171
ludópata	     3.257	     5.266	     4.182
lugar	     5.654	     5.200	     4.922
lujo	     6.807	     5.782	     5.531
lujuria	     5.956	     5.542	     5.231
lunar	     5.052	     4.324	     5.170
machete	     2.897	     6.567	     3.446
machista	     1.913	     6.394	     3.911
madrastra	     2.483	     5.627	     3.787
maduración	     6.391	     5.374	     5.156
maestra	     6.156	     5.626	     4.983
maestro	     5.991	     5.352	     5.238
mafioso	     2.324	     6.461	     3.539
magdalena	     6.446	     4.803	     5.474
mágico	     7.054	     5.977	     5.415
magistral	     5.349	     4.414	     5.212
mago	     7.067	     5.154	     5.873
maíz	     5.504	     4.769	     5.216
malabarista	     6.345	     4.924	     5.417
malaria	     1.702	     6.387	     2.936
maldad	     1.931	     6.647	     3.503
maldición	     2.034	     6.663	     3.184
maldito	     2.605	     6.459	     3.621
maleducado	     2.433	     5.784	     4.251
maleficio	     2.846	     6.243	     3.677
maleta	     6.593	     5.259	     5.131
maletero	     4.727	     4.418	     5.123
malicia	     1.984	     6.597	     3.476
maltrato	     1.511	     7.048	     2.972
malvado	     2.190	     6.486	     3.387
manejo	     5.118	     5.024	     5.081
manera	     4.919	     4.355	     5.164
manga	     5.105	     4.281	     5.182
mango	     6.603	     5.168	     5.602
manguera	     5.175	     4.356	     5.108
maníaco	     3.004	     6.135	     3.649
manicomio	     1.996	     5.890	     3.190
maniquí	     4.559	     4.514	     5.095
mano	     5.667	     5.512	     5.201
manosear	     2.623	     5.308	     4.111
manso	     5.082	     4.254	     5.189
manta	     6.858	     4.964	     5.299
mantel	     5.031	     4.258	     5.140
mantequilla	     5.482	     4.522	     5.373
manto	     5.203	     4.520	     5.124
manual	     5.251	     4.625	     5.120
manuscrito	     5.171	     4.402	     5.169
manzana	     6.405	     4.773	     5.466
mapache	     5.863	     5.518	     4.847
maquillaje	     6.116	     5.161	     5.562
máquina	     4.809	     4.398	     5.161
maquinilla	     4.665	     4.368	     5.151
maravilla	     7.788	     5.474	     5.947
marca	     5.009	     4.391	     4.965
marco	     5.046	     4.209	     5.101
mareado	     2.951	     5.297	     3.652
margen	     4.663	     4.383	     5.101
marido	     6.290	     5.407	     5.101
mariposa	     6.264	     5.311	     5.368
mariquita	     6.569	     5.183	     5.566
marqués	     3.553	     5.197	     4.601
martillo	     4.596	     4.546	     5.031
mártir	     2.492	     5.257	     3.656
masacre	     1.471	     7.050	     2.818
masajista	     7.094	     5.731	     5.638
máscara	     4.863	     5.436	     4.876
mascota	     7.243	     5.573	     5.570
masturbación	     6.430	     5.346	     5.319
masturbarse	     6.540	     5.181	     5.642
matanza	     1.647	     6.941	     3.164
mate	     5.391	     4.666	     5.252
matemático	     5.027	     4.233	     5.204
materia	     4.693	     4.624	     4.959
material	     4.918	     4.362	     5.048
maternidad	     7.193	     6.259	     5.200
matrimonio	     6.734	     6.037	     5.069
mayordomo	     4.590	     4.271	     5.011
mecánica	     4.588	     4.654	     4.894
mecanismo	     4.733	     4.646	     5.019
mecedora	     5.584	     4.491	     5.063
mechero	     4.544	     5.088	     4.712
mechón	     5.158	     4.373	     5.188
media	     4.704	     4.579	     4.951
medicina	     5.397	     5.309	     4.799
médico	     3.738	     5.672	     3.846
medusa	     2.532	     6.101	     3.514
mejillón	     4.986	     4.347	     5.290
mejorar	     7.701	     6.400	     5.763
melena	     6.818	     4.726	     5.726
melodía	     7.385	     5.586	     5.397
memoria	     6.393	     5.349	     5.155
mendigo	     2.348	     4.903	     3.689
menosprecio	     2.230	     5.975	     4.068
mensaje	     6.107	     5.349	     5.284
mensajero	     5.955	     5.039	     5.141
menstruación	     3.615	     5.187	     4.617
mente	     6.212	     5.603	     5.124
mentira	     2.008	     6.332	     4.008
mentón	     4.814	     4.316	     5.107
mercader	     5.022	     4.341	     5.182
mercado	     6.111	     5.765	     5.446
mercenario	     3.111	     5.992	     3.903
mérito	     8.027	     6.546	     5.908
mermelada	     6.442	     5.027	     5.618
mero	     4.539	     4.372	     5.088
mes	     4.816	     4.362	     5.162
mesa	     5.251	     4.414	     5.156
metal	     4.586	     4.681	     4.963
método	     5.102	     4.339	     5.159
mezquita	     4.133	     5.060	     4.711
micrófono	     5.574	     4.699	     5.316
microscopio	     5.439	     4.566	     5.279
miedo	     2.431	     6.750	     3.039
miedoso	     3.014	     5.994	     3.485
miel	     6.558	     4.762	     5.687
miembro	     5.142	     4.279	     5.205
milagro	     6.784	     5.721	     5.296
militar	     4.168	     5.461	     4.128
millonaria	     5.743	     5.684	     5.115
millonario	     6.481	     5.744	     5.278
mimo	     6.885	     5.554	     5.505
