	Valence	Arousal	Dominance
ascender	     7.083	     6.032	     5.325
ascensor	     4.669	     4.495	     5.027
asediado	     2.162	     6.037	     3.558
asesina	     2.016	     6.649	     3.322
asesinar	     1.744	     6.789	     3.125
asesinato	     1.687	     6.873	     3.129
asesino	     1.531	     7.088	     2.932
asesor	     5.068	     4.288	     5.256
asesora	     5.410	     5.147	     4.995
asfalto	     3.849	     4.926	     4.579
asfixiarse	     1.906	     6.657	     2.988
asiento	     5.290	     4.409	     5.169
asilo	     2.314	     5.352	     3.609
asistenta	     5.490	     4.578	     4.942
asno	     5.782	     4.869	     5.157
asombrado	     5.840	     5.426	     5.133
áspero	     3.719	     4.627	     4.671
asqueado	     2.437	     5.324	     4.404
asqueroso	     2.063	     5.453	     4.195
astronauta	     5.730	     5.196	     5.017
asunto	     4.878	     4.557	     5.041
asustado	     2.207	     6.353	     3.171
atentado	     1.603	     6.782	     2.875
aterrorizado	     2.041	     6.818	     2.881
ático	     6.622	     5.001	     5.522
atleta	     5.811	     4.798	     5.327
atracador	     2.104	     6.678	     3.315
atracción	     7.252	     6.086	     5.264
atraco	     1.936	     6.719	     3.257
atraer	     6.754	     5.177	     5.527
atrevido	     6.038	     5.393	     5.121
atrocidad	     1.886	     6.658	     3.434
atún	     5.276	     4.579	     5.224
aumento	     6.249	     5.513	     5.063
aurora	     7.149	     5.077	     5.580
autobús	     4.546	     4.717	     4.893
autoridad	     3.567	     5.949	     4.137
auxilio	     3.350	     5.736	     3.658
avalancha	     3.020	     6.670	     3.356
avance	     6.259	     5.583	     5.043
avaricia	     2.259	     5.797	     4.181
avenida	     5.288	     4.388	     5.358
aventura	     7.619	     6.454	     5.619
avergonzado	     2.212	     6.147	     3.338
avestruz	     5.367	     5.230	     5.082
avión	     5.989	     5.563	     4.924
avispa	     2.370	     6.328	     3.487
ayuda	     6.232	     5.274	     5.056
ayudar	     7.925	     5.947	     5.902
ayuntamiento	     3.681	     5.087	     4.680
azada	     4.327	     4.966	     4.684
azafata	     6.155	     5.570	     5.409
azar	     5.177	     5.392	     4.418
azúcar	     6.638	     4.709	     5.482
azul	     6.631	     4.605	     5.387
bacteria	     2.613	     5.818	     3.668
bailarín	     6.815	     4.983	     5.342
bailarina	     7.282	     5.897	     5.637
bala	     2.086	     6.578	     3.136
balancín	     6.852	     5.348	     5.589
balanza	     4.919	     5.002	     4.823
balcón	     5.724	     5.374	     4.824
ballena	     6.065	     5.616	     4.991
baloncesto	     5.633	     4.881	     5.189
bancarrota	     1.923	     6.269	     3.087
banco	     3.822	     4.961	     4.747
banda	     5.956	     5.532	     5.021
bandeja	     4.998	     4.248	     5.163
bandera	     5.311	     4.962	     5.098
banquero	     2.634	     5.801	     4.336
banquete	     7.250	     5.836	     5.590
bañador	     6.441	     5.315	     5.489
bañera	     6.474	     4.929	     5.509
baño	     5.493	     4.996	     5.329
bar	     6.437	     5.389	     5.473
baranda	     4.715	     4.541	     5.059
barbaridad	     2.430	     5.898	     3.942
barco	     5.884	     5.367	     4.819
barra	     4.752	     4.672	     5.039
barranco	     3.839	     5.783	     3.838
barrendero	     4.586	     4.337	     5.105
barril	     5.011	     4.347	     5.174
bastardo	     3.323	     4.922	     4.515
basto	     4.029	     4.789	     4.756
bastón	     3.574	     4.381	     4.374
basura	     2.189	     5.158	     4.316
basurero	     3.866	     4.571	     4.773
bata	     5.642	     4.871	     5.248
bautizo	     6.375	     5.386	     5.554
bayoneta	     3.074	     5.981	     3.822
beato	     4.841	     4.340	     5.148
bebida	     6.282	     5.467	     5.127
belleza	     7.284	     5.951	     5.613
bendecir	     5.525	     4.753	     5.232
bendición	     5.990	     5.411	     5.415
bengala	     5.443	     5.497	     4.829
beso	     7.779	     6.077	     5.824
bestia	     2.861	     6.519	     3.562
bicicleta	     6.752	     4.890	     5.687
billete	     7.072	     5.575	     5.640
billetera	     5.680	     5.337	     5.031
bisonte	     3.644	     5.866	     3.840
bisturí	     2.817	     5.981	     3.601
blanco	     6.581	     4.912	     5.459
blasfemia	     2.585	     5.653	     4.252
blusa	     5.544	     4.603	     5.287
boda	     7.533	     6.140	     5.552
bodega	     4.817	     4.423	     5.053
bofetada	     1.964	     6.586	     3.676
