	Valence	Arousal	Dominance
kamin	     7.290	     4.315	     5.520
kamm	     5.516	     3.996	     5.616
kammer	     4.739	     4.585	     5.374
kampf	     2.992	     6.485	     4.571
kanal	     4.895	     4.685	     5.445
känguruh	     7.241	     4.699	     5.699
kanne	     5.937	     3.816	     5.352
kanon	     5.916	     3.945	     5.311
kanone	     4.173	     5.190	     4.987
kante	     4.913	     4.502	     5.434
kanzel	     5.285	     4.016	     5.656
kanzler	     4.604	     4.788	     5.246
kappe	     5.536	     3.798	     5.505
karaffe	     5.699	     3.814	     5.635
kargheit	     4.687	     4.510	     5.198
karriere	     6.455	     4.975	     5.309
karte	     5.899	     4.065	     5.399
kartei	     5.287	     4.023	     5.666
karton	     5.439	     3.746	     5.691
käse	     6.719	     4.562	     5.748
kasino	     5.367	     4.118	     5.648
kasperl	     6.300	     4.082	     5.458
kasse	     5.207	     4.762	     5.327
kassette	     5.704	     3.767	     5.600
kastanie	     7.005	     4.378	     5.611
kater	     7.171	     4.898	     5.629
katze	     7.468	     4.510	     5.647
kauf	     6.230	     4.860	     5.377
kegel	     5.625	     3.808	     5.452
kehle	     4.213	     5.118	     4.858
keks	     7.210	     4.391	     5.642
keller	     4.039	     5.465	     4.767
kenntnis	     6.166	     3.942	     5.411
kerbe	     4.948	     4.442	     5.438
kerker	     2.464	     6.842	     4.130
kerze	     7.404	     4.106	     5.235
kette	     7.237	     4.844	     5.592
ketzer	     3.262	     5.832	     4.539
keule	     4.239	     5.120	     4.711
kiefer	     5.243	     4.146	     5.619
kiesel	     5.640	     3.938	     5.692
killer	     2.221	     6.922	     4.095
kind	     7.398	     4.470	     5.420
kiosk	     5.662	     3.883	     5.496
kirche	     5.307	     4.080	     5.442
kirsche	     7.329	     4.500	     5.582
kissen	     7.272	     4.601	     5.792
kiste	     5.745	     3.868	     5.437
kitsch	     5.683	     4.588	     5.402
klage	     3.030	     5.935	     4.871
klang	     7.189	     4.042	     5.376
klarheit	     7.209	     4.816	     5.627
klasse	     5.687	     3.850	     5.542
klassik	     7.042	     4.240	     5.373
klaue	     4.442	     5.540	     4.448
klavier	     7.173	     4.308	     5.495
klee	     7.399	     4.425	     5.473
klette	     3.973	     5.112	     5.271
klient	     5.359	     3.951	     5.638
klima	     4.643	     4.825	     5.008
klinge	     3.325	     6.268	     4.357
klingel	     5.457	     3.828	     5.734
klinik	     3.699	     6.028	     4.230
klinke	     5.241	     3.895	     5.716
klippe	     4.907	     5.432	     4.620
klischee	     3.959	     4.987	     5.218
kloster	     5.518	     3.713	     5.376
klugheit	     7.432	     4.468	     5.695
knabe	     5.615	     4.075	     5.507
knebel	     2.589	     6.550	     4.423
kneipe	     5.844	     4.155	     5.554
knochen	     4.891	     4.672	     5.520
knospe	     7.188	     4.728	     5.642
kobold	     6.043	     4.022	     5.449
kobra	     3.927	     6.115	     4.082
koffer	     5.753	     3.920	     5.376
kohle	     5.837	     4.412	     5.403
kohlrabi	     5.705	     4.043	     5.776
kollaps	     2.883	     6.520	     4.058
kollege	     6.038	     4.002	     5.386
komet	     7.205	     4.784	     5.308
komfort	     7.227	     4.342	     5.595
komik	     7.367	     4.153	     5.466
komitee	     5.536	     3.963	     5.669
komma	     5.515	     3.907	     5.339
kommode	     5.699	     3.814	     5.635
kompass	     5.709	     3.799	     5.670
komplize	     4.847	     4.738	     5.274
komplott	     2.839	     6.070	     4.880
kondom	     5.657	     4.103	     5.679
konflikt	     2.776	     6.192	     4.890
konkurs	     2.869	     6.370	     4.593
kontakt	     6.541	     4.111	     5.505
konto	     5.533	     5.205	     5.402
konzert	     7.512	     4.542	     5.776
kopie	     4.833	     4.758	     5.324
koran	     3.292	     5.807	     4.830
korb	     5.654	     3.861	     5.448
kosmetik	     6.531	     4.051	     5.512
kraft	     7.127	     4.316	     5.398
kralle	     3.965	     5.578	     4.748
kranz	     5.593	     3.972	     5.246
krawatte	     5.315	     3.873	     5.703
kredit	     4.411	     5.145	     5.021
kreide	     5.390	     3.851	     5.682
kreis	     5.554	     3.845	     5.452
kreisel	     5.919	     3.974	     5.458
kreuz	     4.863	     4.425	     5.299
krieg	     1.942	     6.885	     3.860
krimi	     6.710	     4.428	     5.489
krise	     2.213	     6.913	     4.189
kritik	     3.778	     5.388	     4.978
krokodil	     4.783	     5.262	     4.796
krokus	     7.273	     4.609	     5.605
krone	     6.637	     4.101	     5.464
krücke	     3.709	     5.345	     4.914
kruzifix	     4.694	     4.397	     5.345
kuchen	     7.382	     4.360	     5.704
kugel	     5.477	     4.232	     5.246
kuhle	     5.033	     4.333	     5.364
küken	     7.231	     4.205	     5.630
kult	     4.361	     5.280	     4.914
kultur	     7.161	     4.679	     5.696
kummer	     2.833	     6.245	     4.414
kumpan	     5.995	     3.980	     5.432
kunde	     5.935	     4.318	     5.339
kunst	     7.395	     4.300	     5.600
künstler	     7.155	     4.506	     5.795
kupfer	     5.647	     3.762	     5.663
kuppe	     5.541	     3.768	     5.580
kürbis	     6.439	     4.111	     5.501
kurort	     6.860	     4.358	     5.458
kurve	     5.223	     4.065	     5.343
küste	     7.489	     4.135	     5.310
kutsche	     6.675	     4.077	     5.502
labor	     4.228	     5.145	     4.688
ladung	     5.335	     3.923	     5.703
lage	     5.409	     3.848	     5.591
lager	     4.952	     4.467	     5.405
laken	     5.831	     3.766	     5.501
lampe	     6.083	     4.072	     5.374
lanze	     5.089	     4.575	     5.196
larve	     3.585	     5.373	     4.911
last	     2.595	     6.600	     4.633
laster	     4.238	     4.995	     5.187
latein	     5.467	     3.936	     5.690
laterne	     5.819	     3.829	     5.470
laube	     5.685	     3.850	     5.561
lauer	     4.729	     5.048	     4.962
laufbahn	     4.919	     4.591	     5.321
lauge	     4.711	     4.808	     5.220
laune	     5.601	     4.623	     5.268
lawine	     2.471	     7.055	     4.170
leben	     7.563	     4.757	     5.496
leder	     6.919	     4.704	     5.467
leere	     2.537	     6.808	     4.132
lehre	     5.595	     4.715	     5.252
lehrer	     5.078	     4.500	     5.358
lehrerin	     5.644	     4.038	     5.427
lehrjahr	     5.607	     3.861	     5.644
lehrling	     5.335	     3.923	     5.703
lehrzeit	     5.412	     3.956	     5.718
leib	     5.749	     4.453	     5.518
leiche	     2.073	     6.662	     3.976
leichnam	     2.207	     6.538	     3.772
leichte	     5.419	     3.748	     5.684
leid	     1.989	     6.853	     3.900
leim	     5.566	     4.362	     5.473
leine	     5.509	     4.042	     5.461
leinwand	     6.970	     4.590	     5.533
leistung	     6.589	     4.419	     5.460
leitbild	     5.519	     3.743	     5.700
leiter	     5.160	     3.961	     5.709
leittier	     5.357	     3.833	     5.719
lektion	     4.741	     4.783	     5.258
lende	     5.566	     4.363	     5.473
lenker	     5.335	     3.923	     5.703
lenkrad	     5.699	     3.814	     5.635
lenkung	     5.315	     3.873	     5.703
lenz	     6.967	     4.579	     5.570
leopard	     6.199	     4.762	     5.082
lepra	     3.037	     6.095	     4.464
lerche	     7.100	     4.541	     5.742
lesebuch	     6.898	     4.518	     5.486
leser	     6.493	     4.306	     5.270
lesesaal	     6.085	     4.032	     5.464
lesung	     6.032	     4.039	     5.430
leuchte	     6.038	     4.002	     5.386
leugnung	     2.764	     6.272	     4.956
leumund	     5.335	     3.923	     5.703
leute	     6.074	     4.248	     5.321
lexikon	     5.783	     3.882	     5.550
liaison	     6.857	     4.325	     5.511
libelle	     7.175	     4.744	     5.667
licht	     7.373	     4.212	     5.600
lichtung	     7.231	     4.758	     5.652
liebe	     7.610	     4.750	     5.536
liebelei	     7.163	     4.448	     5.624
liebreiz	     7.189	     4.651	     5.755
lied	     7.519	     4.218	     5.531
liege	     5.943	     4.083	     5.292
lift	     5.888	     4.172	     5.368
lilie	     7.207	     4.090	     5.366
limit	     3.615	     5.245	     4.999
limonade	     7.108	     4.794	     5.568
linde	     6.369	     3.975	     5.426
lineal	     5.335	     3.923	     5.703
linie	     5.547	     3.818	     5.520
linse	     5.695	     4.092	     5.527
lippe	     6.771	     4.037	     5.508
list	     2.538	     6.565	     4.568
liste	     5.359	     4.112	     5.305
litanei	     5.505	     3.900	     5.747
liter	     5.401	     3.850	     5.638
lizenz	     5.457	     3.880	     5.728
lobby	     5.819	     4.405	     5.373
loblied	     6.221	     4.204	     5.396
loch	     3.697	     5.810	     4.345
locher	     5.335	     3.923	     5.703
löffel	     5.459	     3.686	     5.694
logik	     7.087	     4.696	     5.732
lohn	     7.081	     5.122	     5.482
lorbeer	     6.711	     4.189	     5.536
losung	     5.216	     4.220	     5.603
lösung	     7.138	     4.621	     5.724
lotse	     5.342	     3.876	     5.734
lotterie	     5.703	     4.080	     5.405
lotto	     5.209	     4.825	     5.355
lotus	     6.899	     4.200	     5.545
löwe	     6.549	     4.701	     5.192
luder	     4.544	     4.752	     5.427
luft	     7.201	     4.318	     5.422
luftloch	     4.563	     4.812	     5.170
luftraum	     5.391	     3.818	     5.700
lüge	     2.099	     6.788	     4.146
lump	     5.350	     4.392	     5.467
lunge	     4.347	     4.978	     4.861
lupe	     5.653	     3.762	     5.610
lust	     7.221	     4.961	     5.701
lutscher	     7.026	     4.461	     5.602
luxus	     7.146	     4.786	     5.691
lyrik	     7.275	     4.201	     5.244
macher	     5.445	     3.973	     5.681
macht	     3.409	     6.127	     4.827
mädchen	     7.071	     4.654	     5.502
madeira	     7.255	     4.821	     5.699
madonna	     5.909	     3.784	     5.395
mafia	     2.531	     6.815	     4.318
magazin	     5.545	     3.708	     5.635
magd	     5.355	     4.108	     5.342
magen	     4.591	     4.982	     5.268
magie	     7.333	     4.725	     5.494
magier	     6.153	     4.096	     5.512
magma	     5.283	     4.175	     5.287
magnet	     5.469	     3.673	     5.653
mahl	     6.547	     4.160	     5.352
mahlzeit	     7.154	     4.654	     5.702
mahnmal	     3.735	     5.408	     4.696
mahnung	     2.789	     6.188	     4.809
maibaum	     7.240	     4.874	     5.658
mais	     7.042	     4.492	     5.530
makel	     3.678	     5.485	     4.720
makler	     4.544	     4.838	     5.274
malaria	     2.174	     6.777	     3.979
maler	     6.460	     4.112	     5.417
malerei	     7.137	     4.448	     5.486
mama	     7.809	     4.576	     5.791
manager	     5.077	     4.530	     5.454
manege	     6.201	     3.924	     5.396
mangel	     2.762	     6.142	     4.662
mango	     7.135	     4.289	     5.696
manie	     4.009	     5.235	     4.792
manko	     4.088	     5.215	     4.886
mann	     6.490	     4.986	     5.380
mantel	     6.065	     4.027	     5.427
mappe	     5.391	     3.880	     5.483
marke	     4.949	     4.518	     5.308
markt	     6.662	     4.335	     5.448
marotte	     4.877	     4.592	     5.373
marter	     3.048	     6.033	     4.420
marxist	     5.363	     4.150	     5.656
masche	     5.287	     4.023	     5.666
maske	     5.313	     4.738	     5.346
massage	     7.427	     4.277	     5.614
massaker	     1.929	     6.926	     3.854
masse	     5.157	     4.715	     5.121
maßnahme	     4.707	     4.703	     5.361
matratze	     6.029	     3.981	     5.582
matte	     5.473	     3.716	     5.586
mauer	     3.402	     5.742	     4.930
maul	     3.638	     5.408	     4.952
maulkorb	     4.108	     5.020	     5.211
maus	     6.387	     4.247	     5.498
maximum	     6.264	     4.182	     5.424
mechanik	     5.467	     3.936	     5.690
medaille	     7.087	     4.556	     5.677
medizin	     5.861	     4.210	     5.184
meer	     7.734	     4.529	     5.617
mehrheit	     6.275	     4.149	     5.402
meineid	     4.741	     4.783	     5.258
meinung	     5.510	     4.098	     5.518
meise	     6.456	     4.188	     5.352
meister	     6.669	     4.129	     5.508
melodie	     7.173	     4.222	     5.364
melodram	     4.554	     4.430	     5.071
melone	     7.273	     4.668	     5.717
menge	     5.572	     3.900	     5.599
mensa	     6.184	     4.675	     5.396
mensch	     6.571	     4.578	     5.432
mentor	     5.972	     4.010	     5.436
mephisto	     4.588	     4.910	     5.006
merkmal	     5.335	     3.923	     5.703
messer	     4.222	     5.380	     4.699
metall	     5.357	     3.833	     5.719
meter	     5.394	     3.816	     5.713
metzger	     3.618	     5.335	     4.992
meute	     3.435	     6.112	     4.351
meuterei	     2.734	     6.312	     4.595
miene	     5.031	     4.510	     5.208
miete	     3.219	     5.680	     4.937
mieter	     5.239	     4.123	     5.619
mietzins	     3.712	     5.285	     5.084
mikado	     6.631	     4.077	     5.508
mikrofon	     5.552	     3.960	     5.567
milch	     6.887	     4.158	     5.610
milchbar	     6.531	     3.984	     5.411
milieu	     4.596	     4.732	     5.277
miliz	     3.492	     5.790	     4.448
million	     6.984	     4.629	     5.542
mimik	     6.487	     4.246	     5.227
mimose	     4.935	     4.645	     5.283
mine	     2.654	     6.715	     4.326
minigolf	     6.669	     4.129	     5.507
minimum	     5.359	     3.951	     5.638
minirock	     6.301	     4.044	     5.386
minister	     5.154	     4.165	     5.542
minus	     4.245	     4.922	     5.142
minute	     5.233	     3.936	     5.675
mirakel	     6.758	     4.312	     5.504
mischehe	     5.199	     3.963	     5.694
missetat	     2.975	     5.998	     4.636
mission	     5.771	     4.060	     5.498
mist	     3.827	     5.203	     5.174
mitgift	     5.649	     3.946	     5.657
mitglied	     5.894	     3.807	     5.432
mitleid	     4.907	     4.175	     5.330
mittag	     6.541	     4.112	     5.505
mitte	     5.433	     3.813	     5.489
mittel	     5.233	     3.936	     5.675
mode	     5.900	     4.583	     5.490
moder	     3.460	     5.572	     4.892
mohn	     6.940	     4.260	     5.660
mohr	     4.429	     4.808	     5.202
möhre	     6.401	     4.072	     5.583
mokka	     6.827	     4.095	     5.629
molch	     4.465	     5.068	     5.305
moll	     5.515	     3.943	     5.352
monarch	     4.329	     4.877	     5.224
monat	     5.618	     3.845	     5.540
mond	     7.425	     4.220	     5.488
monolog	     5.487	     4.135	     5.563
monopol	     5.029	     4.650	     5.336
monstrum	     3.141	     6.312	     4.153
moor	     3.390	     5.988	     4.291
moorbad	     5.709	     4.138	     5.708
moos	     6.258	     4.175	     5.486
moped	     5.852	     4.430	     5.398
moral	     5.259	     4.717	     5.361
moralist	     5.102	     4.467	     5.364
morast	     4.344	     5.110	     5.080
mord	     1.895	     6.943	     3.851
mordfall	     2.033	     6.940	     3.960
mordtat	     2.136	     6.881	     4.092
morphem	     5.240	     3.888	     5.706
mörser	     5.355	     3.963	     5.666
moskito	     3.413	     5.700	     4.996
motiv	     5.535	     3.807	     5.431
motor	     5.586	     4.072	     5.299
motorrad	     5.152	     4.725	     4.862
motte	     3.353	     5.578	     4.952
motto	     6.066	     4.155	     5.386
möwe	     6.840	     4.750	     5.452
mühe	     3.711	     5.528	     5.027
mumie	     3.902	     5.350	     4.883
mundraub	     3.252	     5.648	     4.897
munition	     2.879	     6.405	     4.454
murmel	     6.447	     4.026	     5.455
muschel	     7.015	     4.458	     5.677
musical	     7.140	     4.566	     5.670
musik	     7.666	     4.370	     5.791
musikbox	     6.997	     4.450	     5.520
musiker	     7.237	     4.711	     5.674
muskel	     5.547	     3.736	     5.663
mutation	     3.661	     5.590	     4.660
mutter	     7.287	     4.450	     5.607
mutti	     7.498	     4.439	     5.451
mystik	     5.845	     4.052	     5.406
mythos	     5.677	     3.868	     5.452
nabel	     5.583	     4.302	     5.582
nachbar	     5.615	     3.883	     5.414
nachrede	     3.185	     5.780	     4.818
nachruf	     4.797	     4.280	     5.196
nacht	     7.318	     4.454	     5.330
nachteil	     2.796	     6.185	     4.843
nadel	     4.665	     5.430	     4.386
nagel	     5.032	     4.375	     5.445
nähe	     7.629	     4.610	     5.567
nahrung	     6.681	     4.082	     5.495
name	     5.835	     3.884	     5.389
narbe	     3.309	     5.805	     4.507
narkose	     3.791	     5.898	     4.339
narr	     5.187	     4.722	     5.339
nase	     5.593	     4.198	     5.539
natter	     4.073	     5.508	     4.661
natur	     7.546	     4.502	     5.700
nazi	     2.092	     6.803	     4.020
nazizeit	     2.065	     6.798	     4.076
nebel	     5.803	     5.070	     4.861
neffe	     6.071	     4.104	     5.339
negation	     5.065	     4.172	     5.460
neger	     3.738	     5.172	     5.118
negerin	     4.852	     4.637	     5.292
neid	     2.549	     6.483	     4.636
neige	     5.271	     4.040	     5.486
neigung	     5.757	     3.869	     5.592
nein	     2.525	     6.638	     4.680
nelke	     6.126	     3.980	     5.374
neubau	     5.481	     3.948	     5.703
neugier	     7.206	     4.688	     5.640
neurose	     3.802	     5.472	     4.718
nichte	     6.354	     4.124	     5.420
niere	     4.657	     4.930	     4.961
niete	     3.178	     5.765	     4.980
nikotin	     3.541	     5.467	     5.292
niveau	     5.557	     3.966	     5.635
nonne	     5.441	     3.735	     5.493
notar	     4.389	     4.825	     5.246
note	     6.217	     5.320	     5.046
notfall	     3.067	     6.598	     4.268
notiz	     5.658	     3.890	     5.415
notwehr	     3.059	     6.382	     4.411
november	     5.343	     3.917	     5.327
nuckel	     5.933	     3.970	     5.461
nudel	     7.252	     4.130	     5.730
oase	     7.877	     4.840	     5.904
obhut	     6.163	     4.595	     5.512
objekt	     5.335	     3.923	     5.703
obst	     7.382	     4.452	     5.608
ochse	     5.540	     4.430	     5.488
ofen	     6.420	     4.335	     5.542
offizier	     4.587	     4.635	     5.371
ohnmacht	     2.531	     6.835	     4.242
ohrfeige	     2.473	     6.523	     4.602
omen	     4.719	     5.015	     4.871
onkel	     6.592	     4.033	     5.436
oper	     6.275	     4.425	     5.383
opfer	     2.143	     6.948	     4.114
opium	     4.981	     4.783	     5.274
optik	     5.425	     3.778	     5.486
optimist	     7.555	     4.513	     5.901
orakel	     5.115	     4.182	     5.374
orchidee	     7.335	     4.538	     5.598
orden	     6.515	     4.836	     5.274
ordner	     5.419	     3.748	     5.684
ordnung	     6.406	     4.186	     5.442
organ	     3.835	     5.460	     4.773
orgel	     6.585	     3.931	     5.398
orgie	     6.094	     4.522	     5.536
orkan	     3.592	     6.523	     4.138
osten	     5.639	     4.182	     5.258
osterei	     7.293	     4.456	     5.720
ostern	     7.167	     4.474	     5.464
ozean	     7.489	     4.502	     5.389
paar	     7.424	     4.409	     5.463
paddel	     5.965	     3.987	     5.402
paket	     7.228	     4.212	     5.578
pakt	     4.586	     5.100	     4.830
palast	     6.723	     4.319	     5.558
palme	     7.059	     4.393	     5.598
panda	     6.727	     4.099	     5.476
panik	     2.364	     6.948	     4.230
panne	     2.651	     6.290	     4.655
panorama	     7.210	     4.398	     5.464
panther	     6.866	     4.660	     5.520
panzer	     2.528	     6.692	     4.558
papa	     7.408	     4.756	     5.514
papagei	     7.118	     4.556	     5.683
pappe	     5.377	     3.763	     5.750
paprika	     7.062	     4.451	     5.580
papst	     4.035	     4.928	     5.265
paradies	     7.412	     4.397	     5.610
parasit	     3.057	     5.877	     4.745
parfum	     7.236	     4.198	     5.883
parfüm	     7.238	     4.381	     5.811
paris	     6.717	     4.416	     5.476
park	     7.441	     4.342	     5.372
parole	     4.849	     4.783	     5.276
partei	     4.105	     4.975	     5.199
partisan	     5.076	     3.995	     5.522
partner	     7.345	     4.375	     5.610
party	     7.373	     4.232	     5.576
passion	     7.250	     4.828	     5.655
paste	     5.389	     4.255	     5.594
pastor	     5.477	     3.883	     5.547
pater	     4.749	     4.375	     5.274
patient	     4.674	     4.925	     4.977
pause	     7.274	     4.514	     5.551
pech	     2.496	     6.661	     4.570
pedal	     5.530	     3.843	     5.511
pedant	     3.835	     5.138	     5.130
pegel	     4.381	     4.895	     5.177
pein	     2.404	     6.858	     4.214
peiniger	     2.203	     6.798	     4.254
peitsche	     3.019	     6.050	     4.571
pelz	     3.353	     5.702	     4.873
pendel	     5.168	     4.068	     5.682
pensum	     4.193	     4.932	     5.165
perle	     7.233	     4.168	     5.664
perser	     5.527	     3.796	     5.660
person	     5.457	     3.880	     5.728
pest	     2.147	     6.615	     4.032
pfaffe	     5.423	     4.016	     5.641
pfanne	     5.489	     3.693	     5.669
pfarrer	     5.518	     3.818	     5.404
pfau	     7.093	     4.506	     5.646
pfeife	     5.237	     4.335	     5.528
pfeil	     5.856	     5.248	     4.864
pferd	     7.177	     4.281	     5.401
pflaster	     5.168	     3.960	     5.734
pflege	     5.805	     3.927	     5.440
pflicht	     4.508	     4.892	     5.289
pfote	     6.941	     4.366	     5.408
phase	     5.093	     4.232	     5.386
phonem	     5.335	     3.923	     5.703
photo	     6.876	     4.375	     5.592
pilger	     5.697	     3.767	     5.629
pille	     4.631	     5.405	     4.608
pilot	     5.451	     4.205	     5.168
pilz	     6.035	     4.375	     5.524
pinsel	     5.965	     3.987	     5.402
pinzette	     5.103	     4.118	     5.588
piranha	     4.070	     5.708	     4.449
pirat	     6.579	     4.523	     5.292
piste	     5.641	     4.160	     5.212
pistole	     2.731	     6.755	     4.224
pizzeria	     7.271	     4.506	     5.795
plage	     2.803	     6.288	     4.661
plagiat	     4.256	     4.932	     5.178
plakat	     5.490	     3.898	     5.690
plan	     6.164	     4.085	     5.349
planet	     6.279	     3.856	     5.442
plantage	     5.899	     3.934	     5.451
platin	     6.758	     4.302	     5.548
platte	     5.335	     3.923	     5.703
platz	     5.764	     3.985	     5.387
poesie	     7.197	     4.332	     5.464
pointe	     6.601	     4.062	     5.436
pokal	     6.953	     4.152	     5.335
poker	     5.929	     4.125	     5.361
politik	     3.579	     5.525	     5.093
polizei	     4.096	     4.998	     5.193
polizist	     3.781	     5.350	     5.028
pony	     7.092	     4.658	     5.680
porree	     5.582	     3.878	     5.759
portal	     5.746	     3.804	     5.607
porto	     4.739	     4.752	     5.318
portwein	     5.863	     3.989	     5.616
potenz	     6.085	     4.092	     5.426
pracht	     7.063	     4.664	     5.586
praline	     7.300	     4.314	     5.783
pranger	     3.005	     5.922	     4.730
pranke	     4.379	     5.200	     4.914
prater	     5.417	     3.790	     5.725
preis	     5.575	     4.455	     5.292
prellung	     3.953	     5.198	     5.080
premiere	     7.152	     4.661	     5.648
presse	     5.433	     4.091	     5.697
privileg	     6.433	     4.408	     5.264
probe	     5.345	     4.578	     5.256
problem	     2.539	     6.730	     4.342
profi	     6.605	     4.672	     5.330
profil	     5.315	     3.873	     5.703
profit	     5.520	     4.772	     5.342
prognose	     4.970	     4.130	     5.436
programm	     5.635	     3.891	     5.572
promille	     3.907	     5.332	     4.814
protest	     3.855	     5.118	     5.102
prozent	     5.335	     3.923	     5.703
prunk	     5.877	     4.468	     5.098
psyche	     5.906	     3.848	     5.312
psychose	     3.367	     5.990	     4.374
pudel	     6.237	     4.560	     5.283
puder	     5.711	     3.679	     5.564
pullover	     6.368	     4.074	     5.405
pulver	     5.135	     4.098	     5.641
pumpe	     5.147	     4.035	     5.390
punkt	     5.839	     3.945	     5.318
puppe	     5.811	     3.890	     5.405
purpur	     6.631	     4.077	     5.508
puste	     4.863	     4.372	     5.224
quader	     5.335	     3.923	     5.703
qual	     1.882	     6.943	     3.911
qualität	     7.315	     4.496	     5.783
quelle	     7.142	     4.806	     5.568
quote	     4.369	     4.850	     5.236
rabatt	     7.122	     4.681	     5.627
rabe	     5.142	     4.852	     4.886
rache	     2.954	     6.268	     4.598
rachen	     5.184	     4.130	     5.584
radar	     5.031	     4.480	     5.327
radau	     3.969	     5.195	     5.208
radikale	     2.663	     6.415	     4.580
rakete	     5.419	     4.263	     5.134
rampe	     5.173	     3.973	     5.666
ramsch	     4.633	     4.732	     5.340
rasierer	     5.291	     4.073	     5.669
rasse	     3.090	     5.790	     4.983
rast	     7.303	     4.274	     5.814
rasthaus	     6.447	     4.026	     5.455
ratte	     3.745	     5.307	     4.995
raub	     2.463	     6.676	     4.471
raubtier	     4.277	     5.842	     4.396
raucher	     3.473	     5.602	     5.180
raum	     5.511	     3.817	     5.490
raupe	     5.475	     4.285	     5.679
rausch	     5.551	     4.823	     5.159
razzia	     3.575	     5.547	     4.824
realität	     5.199	     4.005	     5.371
rebell	     4.817	     4.667	     5.430
rechen	     5.243	     3.920	     5.675
rechnung	     2.922	     6.095	     4.731
rede	     5.079	     4.673	     5.137
redner	     5.457	     3.880	     5.728
referat	     4.085	     5.605	     4.621
reform	     4.369	     4.925	     5.264
regal	     5.711	     3.870	     5.628
regel	     4.837	     4.690	     5.365
regen	     6.742	     4.742	     5.495
regent	     4.711	     4.717	     5.286
regentag	     4.663	     4.405	     5.262
regler	     5.247	     3.908	     5.647
regung	     5.383	     3.783	     5.676
reiberei	     3.915	     5.210	     5.084
reichtum	     6.967	     4.835	     5.678
reife	     6.827	     4.185	     5.551
reigen	     5.469	     3.673	     5.653
reihe	     5.443	     3.993	     5.719
reiher	     5.770	     3.797	     5.432
reinfall	     2.876	     6.105	     4.921
reinheit	     7.087	     4.636	     5.562
reise	     7.352	     4.377	     5.482
reiter	     6.418	     4.041	     5.455
reiz	     4.897	     4.530	     5.256
rekord	     7.047	     4.646	     5.564
rekrut	     3.247	     5.918	     4.746
rektor	     5.087	     4.393	     5.532
religion	     4.907	     4.235	     5.268
renner	     5.519	     3.743	     5.700
rente	     3.522	     6.005	     4.863
republik	     5.576	     3.870	     5.719
retter	     7.133	     4.743	     5.676
reue	     2.651	     6.680	     4.251
revier	     4.978	     4.150	     5.510
revolver	     2.760	     6.568	     4.370
rheuma	     3.095	     6.022	     4.483
richter	     4.903	     4.440	     5.530
riese	     5.555	     4.039	     5.524
rinde	     5.612	     3.718	     5.682
ring	     7.090	     4.164	     5.366
ritter	     6.201	     3.924	     5.396
ritze	     5.657	     4.325	     5.532
rivale	     3.006	     5.875	     4.816
rivalin	     2.943	     5.940	     4.821
robbe	     7.079	     4.072	     5.447
rock	     6.324	     3.973	     5.536
roggen	     6.038	     4.002	     5.386
rolle	     5.372	     3.968	     5.551
roman	     7.163	     4.465	     5.408
romanze	     7.230	     4.112	     5.538
rose	     7.471	     4.144	     5.550
rotwein	     6.913	     4.237	     5.680
rubin	     7.223	     4.311	     5.573
rückkehr	     7.103	     4.422	     5.498
rücklage	     5.384	     3.915	     5.411
rudel	     5.219	     4.293	     5.602
ruder	     5.479	     3.773	     5.666
ruhe	     7.511	     4.065	     5.248
ruhm	     6.833	     5.105	     5.399
ruin	     2.209	     6.953	     3.973
ruine	     5.135	     4.878	     4.789
rummel	     6.821	     4.632	     5.517
runde	     5.663	     3.855	     5.604
russe	     5.371	     4.190	     5.694
rüssel	     5.657	     4.103	     5.679
rutsche	     7.174	     4.618	     5.714
sabotage	     2.644	     6.328	     4.718
saboteur	     2.973	     6.018	     4.908
sache	     5.335	     3.923	     5.703
sadismus	     2.667	     6.452	     4.480
safari	     6.979	     4.664	     5.626
säge	     3.683	     6.180	     4.186
sahne	     5.822	     3.910	     5.670
salat	     7.155	     4.676	     5.690
salbe	     5.683	     4.053	     5.698
samstag	     7.569	     4.500	     5.858
sand	     7.215	     4.298	     5.373
sandale	     5.727	     3.787	     5.582
sandwich	     6.725	     4.289	     5.539
sanktion	     3.165	     5.748	     4.890
saphir	     7.241	     4.698	     5.699
sarg	     2.024	     6.768	     3.825
satan	     2.863	     6.467	     4.354
satire	     6.906	     4.644	     5.652
satz	     5.357	     3.833	     5.719
sauna	     7.079	     4.456	     5.708
saxophon	     7.079	     4.351	     5.496
schabe	     3.265	     5.580	     4.898
schaf	     7.144	     4.671	     5.692
schaffen	     7.104	     4.676	     5.564
schal	     6.089	     3.939	     5.383
schale	     5.335	     3.923	     5.703
scham	     3.064	     5.975	     4.390
schande	     2.771	     6.365	     4.501
schatten	     4.731	     4.977	     4.986
schatz	     7.247	     4.250	     5.745
schauder	     4.223	     5.558	     4.520
schauer	     5.280	     4.193	     5.336
schaukel	     7.175	     4.664	     5.667
scheich	     5.499	     4.081	     5.572
schelm	     5.516	     4.146	     5.613
schelte	     3.035	     5.895	     4.821
schere	     5.173	     3.973	     5.666
scherz	     7.279	     4.434	     5.732
scheusal	     2.940	     6.105	     4.568
schiff	     6.566	     4.222	     5.495
schikane	     2.684	     6.327	     4.746
schiller	     6.524	     4.044	     5.464
schimmel	     3.385	     5.485	     4.998
schimmer	     6.239	     3.976	     5.420
schimpf	     2.868	     6.070	     4.743
