	Valence	Arousal	Dominance
bakterie	     3.413	     5.858	     4.576
balance	     7.167	     4.771	     5.568
balken	     5.181	     4.048	     5.666
balkon	     6.975	     4.470	     5.530
ball	     7.011	     4.466	     5.474
ballast	     3.999	     5.023	     5.168
ballon	     6.875	     4.340	     5.592
balsam	     7.243	     4.524	     5.755
baltikum	     5.479	     3.773	     5.666
banane	     6.970	     4.590	     5.533
bandit	     3.136	     5.955	     4.599
bank	     4.193	     5.322	     5.198
banner	     5.335	     3.923	     5.703
barbar	     3.359	     5.860	     4.598
bargeld	     7.333	     4.884	     5.608
barriere	     3.572	     5.342	     5.040
barsch	     5.529	     4.010	     5.467
basis	     5.783	     3.887	     5.552
bastard	     3.645	     5.272	     4.964
batterie	     5.233	     3.936	     5.675
bauer	     5.223	     4.475	     5.411
baum	     7.319	     4.301	     5.338
bazille	     3.073	     6.060	     4.473
beamte	     3.959	     4.982	     5.177
becher	     5.335	     3.923	     5.703
bedarf	     5.173	     3.973	     5.666
bedenken	     3.081	     6.153	     4.584
befehl	     3.033	     5.930	     4.858
befinden	     5.393	     3.785	     5.606
befreier	     7.295	     4.584	     5.645
befugnis	     5.337	     4.306	     5.566
befund	     3.767	     5.805	     4.518
begabung	     7.304	     4.478	     5.523
begierde	     5.881	     4.258	     5.648
beginn	     6.903	     4.616	     5.623
behörde	     3.357	     5.540	     5.052
beichte	     3.334	     5.922	     4.489
beifall	     7.300	     4.636	     5.627
beihilfe	     4.761	     4.718	     5.233
beil	     2.488	     6.958	     4.095
beileid	     3.961	     5.120	     4.655
beispiel	     5.335	     3.923	     5.703
beleg	     4.824	     4.585	     5.361
bengel	     4.985	     4.605	     5.436
benzin	     4.594	     4.778	     5.196
beratung	     5.539	     3.920	     5.644
bereich	     5.335	     3.923	     5.703
bericht	     5.173	     3.973	     5.666
beruf	     6.259	     5.240	     4.887
besen	     4.357	     4.882	     5.234
besteck	     5.519	     3.743	     5.700
bestie	     3.569	     5.912	     4.409
besuch	     7.232	     4.666	     5.648
besucher	     6.970	     4.590	     5.533
betrag	     4.993	     4.150	     5.563
betrieb	     5.490	     3.898	     5.690
betrug	     2.644	     6.328	     4.718
bett	     7.570	     4.242	     5.741
beule	     3.013	     6.052	     4.980
beutel	     5.359	     3.831	     5.738
bewegung	     6.368	     4.074	     5.405
beweis	     5.187	     4.300	     5.663
bewerber	     5.152	     4.183	     5.648
bibel	     4.824	     4.940	     5.230
biber	     6.910	     4.406	     5.520
biene	     6.197	     5.005	     4.946
bier	     4.911	     4.902	     5.405
biest	     3.497	     6.100	     4.713
bikini	     6.893	     4.322	     5.692
bilanz	     5.111	     4.100	     5.613
bild	     6.867	     4.219	     5.451
bildung	     7.073	     5.005	     5.754
birke	     6.361	     3.776	     5.460
birne	     6.415	     4.083	     5.433
bischof	     5.357	     3.970	     5.675
bitte	     5.719	     4.318	     5.342
blamage	     2.431	     6.838	     4.304
blase	     4.609	     4.880	     5.417
blei	     4.581	     4.920	     4.880
blick	     6.625	     4.471	     5.371
blitz	     6.173	     5.148	     4.880
blondine	     5.412	     4.255	     5.408
blume	     7.266	     3.962	     5.400
bluse	     5.959	     4.098	     5.446
blut	     3.163	     5.992	     4.457
blüte	     7.517	     4.286	     5.666
bluttat	     2.112	     6.868	     4.146
boden	     5.997	     3.924	     5.376
bogen	     5.709	     3.838	     5.483
bohne	     5.626	     4.355	     5.504
bohrer	     4.362	     5.110	     4.952
bombe	     1.933	     6.985	     3.863
bomber	     2.508	     6.758	     4.568
bonbon	     7.273	     4.318	     5.602
boot	     6.480	     4.681	     5.308
börse	     3.273	     5.757	     5.014
borste	     5.541	     4.360	     5.554
brause	     6.414	     4.146	     5.467
braut	     7.241	     4.310	     5.217
brezel	     6.557	     4.119	     5.533
brief	     7.099	     4.841	     5.304
brigade	     5.078	     4.121	     5.619
brille	     5.427	     4.066	     5.722
bronze	     6.129	     4.112	     5.345
brot	     7.147	     4.548	     5.730
brücke	     5.235	     3.966	     5.467
bruder	     6.949	     4.341	     5.626
brunnen	     6.275	     3.889	     5.405
brust	     6.763	     4.138	     5.604
buch	     7.753	     4.559	     5.675
buche	     6.307	     3.954	     5.351
buddha	     6.537	     3.991	     5.458
bühne	     6.503	     4.969	     5.036
bulle	     3.189	     6.005	     4.486
bumerang	     5.783	     3.882	     5.550
bündnis	     6.783	     4.250	     5.517
bunker	     2.777	     6.702	     4.069
burg	     6.407	     4.236	     5.480
büro	     3.285	     5.655	     4.780
bursche	     5.343	     3.990	     5.691
bürste	     5.571	     4.028	     5.634
busen	     7.076	     4.316	     5.748
butter	     5.680	     4.053	     5.729
cello	     7.056	     3.949	     5.350
chance	     7.190	     4.603	     5.658
chaos	     5.903	     4.977	     5.305
charme	     7.254	     4.636	     5.833
chef	     3.305	     5.663	     4.927
christus	     5.723	     3.795	     5.455
dachs	     6.234	     4.070	     5.277
dackel	     6.607	     4.069	     5.483
dame	     6.581	     4.153	     5.348
dampfer	     5.699	     3.814	     5.635
dank	     7.406	     4.169	     5.597
darlehen	     4.331	     5.152	     5.074
darm	     3.585	     5.373	     4.911
dasein	     6.566	     4.151	     5.507
datum	     5.215	     4.615	     5.102
dauer	     4.232	     4.912	     5.211
daumen	     5.335	     3.923	     5.703
debatte	     5.077	     4.530	     5.454
decke	     7.111	     4.430	     5.316
deckel	     5.335	     3.923	     5.703
defizit	     2.855	     6.078	     4.774
delikt	     4.039	     5.217	     4.974
delle	     3.207	     5.753	     5.065
demokrat	     6.036	     4.249	     5.392
demut	     4.767	     4.453	     5.276
denker	     5.748	     3.958	     5.408
dessert	     7.379	     4.448	     5.701
detail	     5.641	     3.835	     5.491
deutung	     5.463	     3.808	     5.498
diagnose	     3.373	     6.477	     4.136
dialekt	     5.664	     3.895	     5.654
diamant	     7.300	     4.396	     5.683
dichter	     6.834	     4.202	     5.423
dieb	     2.505	     6.735	     4.528
diele	     5.317	     3.963	     5.473
diener	     5.389	     4.075	     5.333
dienst	     4.869	     4.342	     5.458
diktatur	     2.393	     6.710	     4.512
dilemma	     2.651	     6.458	     4.317
ding	     5.411	     4.060	     5.638
diplom	     6.958	     4.443	     5.629
diplomat	     5.490	     3.898	     5.690
dirne	     5.764	     4.375	     5.477
distel	     5.549	     4.375	     5.442
dogge	     5.047	     4.865	     5.174
doktor	     3.859	     5.768	     4.536
dokument	     5.425	     3.976	     5.674
dolch	     2.659	     6.815	     4.342
dominanz	     4.062	     5.285	     5.089
donner	     5.815	     5.118	     4.768
