	Valence	Arousal	Dominance	Average
1	0.9626	0.6207	0.8514	0.8116
2	0.9578	0.6453	0.8798	0.8276
3	0.9769	0.5821	0.8892	0.816
4	0.9702	0.728	0.8618	0.8533
5	0.9675	0.6758	0.8458	0.8297
6	0.9613	0.6306	0.8226	0.8048
7	0.9734	0.719	0.8683	0.8536
8	0.961	0.6823	0.837	0.8267
9	0.9619	0.6491	0.863	0.8246
10	0.9638	0.7899	0.8835	0.8791
SD	0.0062	0.0606	0.0213	0.0293
Average	0.9656	0.6723	0.8602	0.8327
