	Valence	Arousal	Dominance	Average
1	-0.0007	-0.0807	0.0015	-0.0266
2	-0.0002	-0.0428	-0.0015	-0.0148
3	-0.0009	-0.1084	-0.0017	-0.0371
4	-0.0017	-0.0872	0.0014	-0.0292
5	-0.0005	-0.0691	-0.002	-0.0238
6	-0.0005	-0.0552	0.0018	-0.018
7	-0.0003	-0.0092	-0.0018	-0.0037
8	-0.0005	-0.0616	-0.0019	-0.0214
9	-0.0015	-0.0995	-0.0007	-0.034
10	-0.0003	-0.0214	-0.0014	-0.0077
SD	-0.0001	0.013	-0.0007	0.004
Average	-0.0007	-0.0635	-0.0007	-0.0216
