	Valence	Arousal	Dominance	Average
1	0.0002	-0.1584	-0.0095	-0.0559
2	0.0002	-0.1195	0.0139	-0.0351
3	0.0001	-0.0991	0.0099	-0.0297
4	0.0017	-0.0893	0.0016	-0.0286
5	-0.0011	-0.245	0.015	-0.077
6	-0.0004	-0.0728	-0.0109	-0.028
7	-0.0004	-0.0571	-0.0104	-0.0226
8	0.0002	-0.1206	0.0009	-0.0399
9	0.0021	-0.0409	-0.0034	-0.0141
10	-0.0006	-0.1192	0.0015	-0.0394
SD	0.0002	0.0276	-0.0007	0.0091
Average	0.0002	-0.1122	0.0009	-0.037
