	Valence	Arousal	Dominance	Average
1	-0.0044	0.0041	-0.0017	-0.0007
2	0.0003	0.0012	0.0233	0.0082
3	-0.0091	0.0034	0.0084	0.001
4	-0.0005	-0.0123	0.0021	-0.0035
5	-0.0052	0.0354	0.0087	0.013
6	-0.0054	-0.0216	-0.012	-0.013
7	-0.0044	0.0141	-0.0009	0.0029
8	-0.0085	0.0035	-0.007	-0.0041
9	-0.002	0.0001	-0.0033	-0.0017
10	-0.0062	-0.0381	0.0087	-0.0119
SD	-0.0011	0.0043	-0.0047	-0.0004
Average	-0.0046	-0.001	0.0026	-0.001
