	Valence	Arousal	Dominance	Average
1	-0.0013	-0.0699	-0.0164	-0.0292
2	-0.0013	-0.0422	-0.0128	-0.0188
3	0.0006	-0.0218	0.0064	-0.0049
4	0.0009	-0.0637	-0.0094	-0.024
5	0.0009	-0.0257	0.0047	-0.0067
6	0.0003	-0.0155	-0.0124	-0.0092
7	-0.0025	-0.0444	-0.008	-0.0183
8	-0.0004	-0.006	-0.0089	-0.0051
9	0.0034	-0.0491	-0.0117	-0.0191
10	0.0012	-0.0244	0.0099	-0.0045
SD	0.001	0.0068	0.0052	0.0044
Average	0.0002	-0.0363	-0.0059	-0.014
