	Valence	Arousal	Dominance	Average
1	-0.0049	-0.0551	-0.0011	-0.0204
2	-0.002	-0.0554	-0.002	-0.0198
3	0.0013	-0.0597	-0.0007	-0.0197
4	-0.0006	-0.0543	-0.0027	-0.0192
5	-0.004	-0.0399	0.0006	-0.0144
6	-0.003	-0.0667	0.0036	-0.0221
7	-0.002	-0.0288	-0.0002	-0.0103
8	-0.0026	-0.027	0.0022	-0.0091
9	-0.0038	0.0043	-0.0011	-0.0003
10	-0.0013	-0.0653	-0.0023	-0.0229
SD	0.0012	0.0033	-0.0002	0.0014
Average	-0.0023	-0.0448	-0.0004	-0.0158

