	Valence	Arousal	Dominance	Average
1	-0.0174	-0.0201	-0.0104	-0.016
2	-0.0141	-0.0008	-0.0123	-0.009
3	-0.0196	-0.0167	-0.011	-0.0158
4	-0.0133	-0.0052	-0.0135	-0.0106
5	-0.0017	-0.0079	0.0011	-0.0028
6	-0.0067	-0.0016	-0.0058	-0.0048
7	-0.0051	-0.0007	-0.0063	-0.004
8	-0.0079	-0.0113	-0.0011	-0.0068
9	-0.0004	0.0077	-0.0065	0.0002
10	-0.0064	0.001	-0.0059	-0.0037
SD	0.0004	-0.0011	-0.0014	-0.0007
Average	-0.0093	-0.0056	-0.0072	-0.0074

