	Valence	Arousal	Dominance	Average
1	0.9642	0.725	0.8149	0.8347
2	0.9632	0.8077	0.86	0.877
3	0.9745	0.6871	0.8745	0.8454
4	0.9811	0.7939	0.8911	0.8887
5	0.9693	0.7359	0.8296	0.8449
6	0.9725	0.7363	0.8198	0.8429
7	0.9723	0.7417	0.824	0.846
8	0.962	0.7606	0.847	0.8566
9	0.9719	0.7132	0.876	0.8537
10	0.9576	0.7375	0.8456	0.8469
SD	0.007	0.0358	0.0264	0.0231
Average	0.9689	0.7439	0.8482	0.8537

