	Valence	Arousal	Dominance	Average
1	0.96	0.6897	0.7425	0.7974
2	0.951	0.5728	0.666	0.7299
3	0.9385	0.7087	0.7306	0.7926
4	0.9244	0.761	0.692	0.7924
5	0.9299	0.7085	0.6637	0.7673
6	0.9143	0.6581	0.7463	0.7729
7	0.9573	0.6744	0.7364	0.7894
8	0.9615	0.7646	0.7124	0.8128
9	0.9534	0.8048	0.7486	0.8356
10	0.9551	0.7723	0.7085	0.8119
SD	0.0166	0.068	0.0319	0.0389
Average	0.9445	0.7115	0.7147	0.7902
