	Valence	Arousal	Dominance	Avg_VAD	Joy	Anger	Sadness	Fear	Disgust	Avg_BE5
English	0.006210659705143867	0.03517622372393413	0.027510114931320283	0.018710724779655016	0.009977515759733808	0.025466189422383323	0.022046120951517256	0.028321411853194704	0.0354408739597325	0.014523150244118958
Spanish	0.006613296206806633	0.06014965591883213	0.04598135377454653	0.028290844632653973	0.008256527096712221	0.029353449779376317	0.035771943078115674	0.027190007741310928	0.032586102220437424	0.014010783777536055
Polish	0.025963797546199416	0.031421003376926555	0.051414134187681544	0.027781169048217338	0.02517823488919794	0.02930580909654795	0.05572594793026743	0.04174857377741867	0.038604722313315576	0.03017689660094806
German	0.02118398578750429	0.055824893185898984	0.0979186315159878	0.042869458747538426	0.017893880841355642	0.05736535924087725	0.12826594609926636	0.04573727494213709	0.09339080986017961	0.036307061528529944

