	Valence	Arousal	Dominance	Average
1	0.9567	0.8423	0.6489	0.816
2	0.9319	0.8388	0.6315	0.8007
3	0.941	0.7671	0.7509	0.8197
4	0.9559	0.7243	0.507	0.7291
5	0.9053	0.7342	0.711	0.7835
6	0.965	0.8407	0.8088	0.8715
7	0.9171	0.72	0.4359	0.691
8	0.9235	0.6372	0.4799	0.6802
9	0.9437	0.6351	0.8046	0.7944
10	0.9655	0.826	0.6388	0.8101
SD	0.0208	0.0803	0.1325	0.0779
Average	0.9406	0.7566	0.6417	0.7796

