	Valence	Arousal	Dominance	Average
1	-0.0017	-0.043	-0.0099	-0.0182
2	-0.0011	-0.0503	-0.0163	-0.0225
3	-0.0005	-0.0414	-0.0201	-0.0207
4	-0.0023	-0.0518	-0.0199	-0.0247
5	-0.0035	-0.0552	-0.0163	-0.025
6	-0.0007	-0.0475	-0.015	-0.0211
7	-0.0002	-0.0431	-0.0277	-0.0237
8	-0.0022	-0.0434	-0.0101	-0.0185
9	-0.0011	-0.0425	-0.0079	-0.0172
10	-0.004	-0.0376	-0.0102	-0.0173
SD	0.0004	0.0012	0.0034	0.0017
Average	-0.0017	-0.0456	-0.0154	-0.0209

