	Valence	Arousal	Dominance	Average
1	0.9812	0.7189	0.6214	0.7738
2	0.9861	0.7532	0.6294	0.7896
3	0.9773	0.6704	0.6671	0.7716
4	0.9753	0.6574	0.6392	0.7573
5	0.9842	0.7101	0.6081	0.7675
6	0.984	0.7749	0.6334	0.7975
7	0.9858	0.7258	0.6395	0.7837
8	0.9857	0.6975	0.666	0.7831
9	0.9853	0.818	0.6318	0.8117
10	0.9832	0.6747	0.7075	0.7885
SD	0.0038	0.0503	0.0286	0.0276
Average	0.9828	0.7201	0.6444	0.7824
