	Valence	Arousal	Dominance	Average
1	0.7885	0.6252	0.7788	0.7309
2	0.8731	0.5857	0.852	0.7703
3	0.8831	0.6778	0.8071	0.7893
4	0.9024	0.6369	0.8236	0.7876
5	0.8653	0.4634	0.843	0.7239
6	0.8318	0.603	0.747	0.7273
7	0.8377	0.4858	0.7572	0.6936
8	0.8774	0.6065	0.8161	0.7667
9	0.9088	0.6251	0.8711	0.8017
10	0.865	0.6689	0.8681	0.8007
SD	0.0358	0.071	0.0441	0.0503
Average	0.8633	0.5978	0.8164	0.7592
