	Valence	Arousal	Dominance	Average
1	0.9697	0.6296	0.8061	0.8018
2	0.9754	0.7846	0.8796	0.8798
3	0.9596	0.6393	0.8547	0.8179
4	0.971	0.658	0.8609	0.8299
5	0.9736	0.6827	0.8879	0.848
6	0.9678	0.6853	0.838	0.8304
7	0.952	0.6577	0.8073	0.8057
8	0.9715	0.6499	0.8672	0.8295
9	0.9776	0.7246	0.8999	0.8674
10	0.9694	0.7283	0.8843	0.8607
SD	0.0076	0.0486	0.0326	0.0296
Average	0.9687	0.684	0.8586	0.8371
