	Valence	Arousal	Dominance	Average
1	-0.1819	-0.0478	-0.0326	-0.0874
2	-0.0998	-0.2144	-0.0269	-0.1137
3	-0.0805	-0.0352	-0.0377	-0.0512
4	-0.0728	-0.087	-0.0353	-0.0651
5	-0.1107	-0.2803	-0.0417	-0.1443
6	-0.1368	-0.1347	-0.0882	-0.1199
7	-0.1202	-0.261	-0.0606	-0.1472
8	-0.0919	-0.1077	-0.046	-0.0818
9	-0.0719	-0.1511	-0.0317	-0.0849
10	-0.1033	-0.091	-0.0172	-0.0705
SD	0.0293	0.0352	0.0135	0.026
Average	-0.107	-0.141	-0.0418	-0.0966
