	Valence	Arousal	Average
1	0.9533	0.7479	0.8506
2	0.9535	0.7281	0.8408
3	0.952	0.72	0.836
4	0.954	0.6591	0.8065
5	0.9453	0.7168	0.8311
6	0.9568	0.6957	0.8263
7	0.9531	0.713	0.8331
8	0.9336	0.665	0.7993
9	0.9516	0.7222	0.8369
10	0.952	0.6272	0.7896
SD	0.0066	0.0375	0.022
Average	0.9505	0.6995	0.825

