	Valence	Arousal	Average
1	0.8091	0.5969	0.703
2	0.819	0.6185	0.7188
3	0.8363	0.6879	0.7621
4	0.7871	0.6417	0.7144
5	0.7944	0.6855	0.74
6	0.8244	0.5992	0.7118
7	0.7991	0.6413	0.7202
8	0.8242	0.6079	0.716
9	0.8381	0.6459	0.742
10	0.833	0.6359	0.7344
SD	0.0182	0.0321	0.0251
Average	0.8165	0.6361	0.7263

