	Valence	Arousal	Average
1	0.9603	0.7645	0.8624
2	0.9558	0.739	0.8474
3	0.9554	0.7307	0.843
4	0.9605	0.6765	0.8185
5	0.955	0.7399	0.8474
6	0.9615	0.7285	0.845
7	0.9559	0.7143	0.8351
8	0.9474	0.6505	0.7989
9	0.9587	0.6931	0.8259
10	0.9583	0.6557	0.807
SD	0.0041	0.0386	0.0213
Average	0.9569	0.7093	0.8331

