	Valence	Arousal	Average
1	0.9644	0.7573	0.8608
2	0.9623	0.771	0.8666
3	0.9595	0.7575	0.8585
4	0.9627	0.71	0.8364
5	0.9567	0.7684	0.8626
6	0.9662	0.7486	0.8574
7	0.9596	0.7299	0.8447
8	0.9501	0.6818	0.816
9	0.9631	0.7267	0.8449
10	0.9609	0.6863	0.8236
SD	0.0046	0.0325	0.0185
Average	0.9606	0.7338	0.8472

