Word	Joy	Anger	Sadness	Fear	Disgust
αβγό	2.308199882507324	1.5295000076293945	1.4225000143051147	1.618299961090088	1.4221999645233154
αβοήθητος	1.1095000505447388	2.993499994277954	2.777100086212158	3.0550999641418457	2.4551000595092773
άγαλμα	2.253999948501587	1.5562000274658203	1.4348000288009644	1.6481000185012817	1.4390000104904175
αγάπη	3.8445000648498535	1.618899941444397	1.5953999757766724	1.9026000499725342	1.4474999904632568
αγαπημένος	3.3289999961853027	1.5219999551773071	1.513200044631958	1.7086000442504883	1.409000039100647
άγγελος	3.3085999488830566	1.4955999851226807	1.5029000043869019	1.6674000024795532	1.3980000019073486
αγελάδα	2.4992001056671143	1.5113999843597412	1.427299976348877	1.6132999658584595	1.409000039100647
αγενής	1.079300045967102	2.9786999225616455	2.811500072479248	2.971400022506714	2.4944000244140625
άγιος	2.404400110244751	1.5176000595092773	1.4220999479293823	1.6128000020980835	1.4132000207901
αγκάθι	1.3664000034332275	2.4244000911712646	2.111999988555908	2.4509999752044678	2.050600051879883
αγκαλιά	4.170899868011475	1.5918999910354614	1.6201000213623047	1.8938000202178955	1.4345999956130981
αγκώνας	2.041599988937378	1.5642999410629272	1.429900050163269	1.6318000555038452	1.4521000385284424
άγνοια	1.3244999647140503	2.3850998878479004	2.10479998588562	2.3401999473571777	2.05649995803833
αγορά	3.109800100326538	1.6779999732971191	1.5598000288009644	1.9113999605178833	1.485200047492981
αγόρι	2.3519999980926514	1.5807000398635864	1.4541000127792358	1.693600058555603	1.4493000507354736
άγριος	1.9660999774932861	2.221100091934204	1.9119000434875488	2.43179988861084	1.8561999797821045
αγροικία	2.0861001014709473	1.6211999654769897	1.4704999923706055	1.711300015449524	1.48580002784729
άγχος	1.190000057220459	3.0566000938415527	2.7288999557495117	3.2444000244140625	2.3777999877929688
αγωνιώδης	1.4616999626159668	2.856600046157837	2.4546000957489014	3.1208999156951904	2.19350004196167
αδέξιος	1.3598999977111816	2.4151999950408936	2.1080000400543213	2.4302000999450684	2.0501999855041504
αδερφός	3.7906999588012695	1.5361000299453735	1.5642999410629272	1.7740000486373901	1.4127999544143677
αδιάκριτος	1.1779999732971191	2.9238998889923096	2.606300115585327	3.041599988937378	2.330699920654297
αδιάφορος	1.4718999862670898	2.2179999351501465	1.9345999956130981	2.2822999954223633	1.9140000343322754
αέρας	2.907399892807007	1.5160000324249268	1.4687000513076782	1.6592999696731567	1.408400058746338
αεροπλάνο	3.662100076675415	1.6475000381469727	1.5895999670028687	1.926300048828125	1.4617999792099
αηδιασμένος	1.0786999464035034	3.0292000770568848	2.78410005569458	3.1108999252319336	2.45169997215271
αθλητισμός	3.5803000926971436	1.7137999534606934	1.613800048828125	2.011899948120117	1.4953999519348145
αθώος	3.0136001110076904	1.4687000513076782	1.4644999504089355	1.5995999574661255	1.3876999616622925
αίγλη	3.070199966430664	1.507699966430664	1.4825999736785889	1.662600040435791	1.4041999578475952
αιματοκύλισμα	1.0980000495910645	2.987799882888794	2.791100025177002	3.023699998855591	2.4714999198913574
αισιοδοξία	3.647200107574463	1.5981999635696411	1.569000005722046	1.8526999950408936	1.4397000074386597
ακαθαρσία	1.0205999612808228	2.8822999000549316	2.9089999198913574	2.7962000370025635	2.5185999870300293
άκαμπτος	1.6984000205993652	2.078399896621704	1.8125	2.2028000354766846	1.8039000034332275
ακατάδεκτος	1.180899977684021	2.7095999717712402	2.43179988861084	2.6459999084472656	2.272900104522705
ακατάστατος	1.2961000204086304	2.599600076675415	2.2671000957489014	2.6579999923706055	2.1424999237060547
ακρωτηριάζω	1.0776000022888184	3.021699905395508	2.788100004196167	3.0869998931884766	2.4600000381469727
ακτή	3.167099952697754	1.4603999853134155	1.4766000509262085	1.6030000448226929	1.382699966430664
αλαζονικός	1.3036999702453613	2.5065999031066895	2.19950008392334	2.4997000694274902	2.1126999855041504
αλήθεια	3.7416000366210938	1.497499942779541	1.5472999811172485	1.7117999792099	1.3968000411987305
αλκοολικός	1.231600046157837	2.62280011177063	2.33240008354187	2.5810999870300293	2.2042999267578125
αλλεργία	1.1598000526428223	3.007999897003174	2.7506000995635986	3.134500026702881	2.4135000705718994
άλογο	2.8322999477386475	1.6719000339508057	1.5371999740600586	1.8727999925613403	1.4874999523162842
αμαρτία	1.56850004196167	2.4398999214172363	2.088399887084961	2.6214001178741455	2.003700017929077
αμαρτωλός	1.1990000009536743	2.710200071334839	2.4166998863220215	2.6814000606536865	2.2585999965667725
αμερόληπτος	2.6686999797821045	1.5918999910354614	1.4807000160217285	1.7451000213623047	1.4473999738693237
αμοιβή	3.5062999725341797	1.5267000198364258	1.5325000286102295	1.7325999736785889	1.4101999998092651
αναμνήσεις	2.61299991607666	1.7134000062942505	1.5536999702453613	1.9003000259399414	1.5198999643325806
ανάμνηση	3.165600061416626	1.6491999626159668	1.5477999448776245	1.878100037574768	1.4686000347137451
αναπαυτικός	3.1768999099731445	1.4077999591827393	1.4514000415802002	1.5289000272750854	1.3531999588012695
αναρωτιέμαι	2.016200065612793	1.92330002784729	1.6891000270843506	2.071899890899658	1.6842000484466553
αναστατωμένος	1.3265000581741333	2.830899953842163	2.4509999752044678	3.02239990234375	2.2174999713897705
ανασφαλής	1.1678999662399292	3.0132999420166016	2.746500015258789	3.1480000019073486	2.4084999561309814
άναυδος	1.8707000017166138	2.1977999210357666	1.8961000442504883	2.3773999214172363	1.8547999858856201
αναψυκτικό	2.7032999992370605	1.55649995803833	1.465000033378601	1.698699951171875	1.4284000396728516
ανδρείκελο	1.3411999940872192	2.2504000663757324	2.011899948120117	2.1673998832702637	1.9918999671936035
ανελκυστήρας	2.6979000568389893	1.5247999429702759	1.4510999917984009	1.6520999670028687	1.413599967956543
ανέμελος	3.302299976348877	1.5027999877929688	1.5045000314712524	1.6775000095367432	1.4010000228881836
ανεμοβλογιά	1.1208000183105469	2.740499973297119	2.5399999618530273	2.629300117492676	2.3299999237060547
ανεμόμυλος	2.7611000537872314	1.5995999574661255	1.4916000366210938	1.7656999826431274	1.4498000144958496
