	Valence	Arousal	Dominance	Average
1	-0.0917	-0.0867	-0.0519	-0.0768
2	-0.0758	-0.1111	-0.0466	-0.0778
3	-0.096	-0.1432	-0.1043	-0.1145
4	-0.0712	0.0087	-0.0924	-0.0517
5	-0.0982	-0.0431	-0.1077	-0.0829
6	-0.0815	-0.0855	-0.1177	-0.0949
7	-0.0592	0.007	-0.0612	-0.0378
8	-0.1073	-0.0411	-0.072	-0.0735
9	-0.0904	-0.0829	-0.0637	-0.079
10	-0.0784	-0.0752	-0.0242	-0.0593
SD	0.0076	0.0308	-0.0073	0.0103
Average	-0.085	-0.0653	-0.0741	-0.0748
