	Valence	Arousal	Dominance	Average
1	0.9737	0.7042	0.8627	0.8469
2	0.971	0.6767	0.8784	0.842
3	0.9419	0.6584	0.8052	0.8019
4	0.9543	0.7581	0.8176	0.8433
5	0.9722	0.6962	0.8434	0.8373
6	0.9735	0.7413	0.8256	0.8468
7	0.9675	0.6199	0.8093	0.7989
8	0.9714	0.6227	0.8191	0.8044
9	0.9679	0.7543	0.8095	0.8439
10	0.9665	0.6315	0.8247	0.8075
SD	0.0102	0.0533	0.0244	0.0293
Average	0.966	0.6863	0.8295	0.8273
