	Valence	Arousal	Dominance	Average
1	-0.0002	-0.0631	-0.0027	-0.0219
2	-0.0007	-0.0283	-0.0069	-0.012
3	-0.0026	-0.0346	0.0157	-0.0071
4	0.0011	-0.0251	-0.0096	-0.0113
5	-0.0008	-0.0258	-0.0195	-0.0153
6	0.0014	-0.0222	-0.0007	-0.0072
7	0.0014	-0.0834	0.017	-0.0217
8	-0.0017	-0.0251	-0.016	-0.0143
9	0.0012	-0.0099	-0.0095	-0.006
10	-0.0008	-0.0333	-0.0114	-0.0152
SD	0.0004	0.0067	-0.0063	0.0003
Average	-0.0002	-0.0351	-0.0044	-0.0132
