	Valence	Arousal	Dominance
English	-8.71689875153	-1.17696713577	-4.2496310438
Spanish	-10.0654537844	-1.35941660282	-3.95904536629
German	-0.259833336287	-2.82386365426	
Polish		-4.94322104485	
