	Joy	Anger	Sadness	Fear	Disgust
Mean	2.11	1.62	1.61	1.66	1.59
Median	1.86	1.38	1.38	1.42	1.37
Min	1.07	1.14	1.21	1.17	1.11
Max	4.4	3.38	3.81	3.74	3.26
StDev	0.79	0.47	0.47	0.49	0.47
