	Valence	Arousal	Dominance	Average
1	-0.1077	-0.0853	-0.1357	-0.1096
2	-0.1518	-0.0006	0.0066	-0.0487
3	-0.0997	0.0676	-0.04	-0.0241
4	-0.1143	0.0257	-0.0612	-0.05
5	-0.034	0.063	0.0397	0.0228
6	-0.1713	-0.0413	-0.0446	-0.0857
7	-0.1073	0.0204	-0.0205	-0.0358
8	-0.0913	0.0382	-0.0635	-0.0388
9	-0.0559	0.0355	-0.0177	-0.0127
10	-0.1063	-0.0399	0.0049	-0.0471
SD	0.0313	0.0055	-0.0042	0.0109
Average	-0.1039	0.0083	-0.0332	-0.043
