	Valence	Arousal	Dominance	Average
1	0.9585	0.736	0.6856	0.7934
2	0.9495	0.7827	0.4967	0.743
3	0.939	0.702	0.4433	0.6948
4	0.9575	0.6875	0.6709	0.772
5	0.964	0.723	0.6775	0.7882
6	0.9462	0.8451	0.7012	0.8308
7	0.9056	0.8271	0.7846	0.8391
8	0.955	0.7552	0.7739	0.828
9	0.979	0.7604	0.6376	0.7923
10	0.958	0.7653	0.5127	0.7453
SD	0.0193	0.0504	0.1166	0.0621
Average	0.9512	0.7584	0.6384	0.7827
