	Valence	Arousal	Dominance	Average
1	-0.0016	-0.033	-0.0106	-0.0151
2	-0.01	-0.0008	0.0259	0.005
3	-0.0085	-0.0158	-0.0186	-0.0143
4	-0.0033	0.0131	0.0327	0.0141
5	-0.0079	-0.0041	-0.0099	-0.0074
6	-0.0589	-0.1373	0.0028	-0.0644
7	0.0	-0.0014	0.0274	0.0087
8	0.0135	-0.0129	-0.0374	-0.0122
9	0.0016	-0.0085	-0.0149	-0.0072
10	0.0039	-0.0355	-0.0235	-0.0184
SD	0.0097	-0.0077	0.0045	0.0022
Average	-0.0071	-0.0236	-0.0026	-0.0111
