	Valence	Arousal	Dominance	Average
1	-0.0041	-0.0112	-0.0088	-0.008
2	0.002	0.0146	0.0618	0.0261
3	-0.0018	0.0008	-0.0397	-0.0136
4	-0.0041	-0.0206	0.0128	-0.004
5	-0.0021	0.0078	0.0074	0.0043
6	-0.0026	-0.0047	0.0011	-0.0021
7	-0.0194	0.0009	-0.0385	-0.019
8	0.003	-0.0027	-0.023	-0.0076
9	0.0007	0.0195	0.0036	0.008
10	0.0056	-0.0214	-0.0017	-0.0058
SD	0.0056	0.0045	-0.0052	0.0016
Average	-0.0023	-0.0017	-0.0025	-0.0022
