	Valence	Arousal	Dominance	Average
1	-0.0247	-0.0729	-0.0856	-0.0611
2	-0.0121	-0.0624	-0.0999	-0.0582
3	-0.006	-0.0092	-0.1379	-0.051
4	0.0006	-0.0811	-0.0584	-0.0463
5	-0.0002	-0.1119	-0.1157	-0.076
6	0.0138	-0.0803	-0.1271	-0.0645
7	0.0151	-0.0944	-0.0377	-0.039
8	-0.0197	0.0001	-0.0787	-0.0327
9	-0.0124	-0.095	-0.0147	-0.0407
10	-0.0028	-0.0945	-0.041	-0.0461
SD	-0.0032	0.0049	0.0171	0.0062
Average	-0.0048	-0.0701	-0.0797	-0.0516
