	Valence	Arousal	Dominance	Average
1	0.9341	0.7399	0.3654	0.6798
2	0.9274	0.6367	0.6193	0.7278
3	0.9438	0.7589	0.4929	0.7318
4	0.9601	0.6673	0.5776	0.735
5	0.9437	0.7796	0.7411	0.8215
6	0.9685	0.6477	0.5254	0.7139
7	0.9559	0.7946	0.541	0.7638
8	0.9364	0.5504	0.4717	0.6528
9	0.9436	0.6432	0.5603	0.7157
10	0.9539	0.6657	0.6715	0.7637
SD	0.0127	0.0772	0.1058	0.0652
Average	0.9467	0.6884	0.5566	0.7306
