	Joy	Anger	Sadness	Fear	Disgust
bianco	     3.002	     1.345	     1.388	     1.378	     1.341
bibita	     3.805	     1.257	     1.348	     1.355	     1.200
bicchiere	     2.350	     1.231	     1.257	     1.308	     1.359
bicicletta	     3.124	     1.346	     1.362	     1.512	     1.255
biondo	     2.567	     1.225	     1.275	     1.339	     1.305
blatta	     1.235	     2.466	     2.235	     2.259	     2.072
blu	     3.771	     1.230	     1.240	     1.291	     1.124
bocca	     3.102	     1.328	     1.354	     1.486	     1.241
bollente	     1.164	     2.474	     2.330	     2.383	     2.344
bollitore	     1.879	     1.663	     1.614	     1.967	     1.546
bomba	     1.088	     3.190	     3.019	     3.611	     2.424
bordo	     1.912	     1.607	     1.595	     1.941	     1.555
bottiglia	     2.674	     1.302	     1.348	     1.445	     1.281
bouquet	     3.329	     1.316	     1.366	     1.391	     1.322
braccio	     2.339	     1.260	     1.295	     1.377	     1.297
brevetto	     2.623	     1.341	     1.338	     1.512	     1.387
brezza	     3.667	     1.158	     1.301	     1.259	     1.155
bruciatura	     1.192	     2.777	     2.320	     2.717	     2.070
brutale	     1.228	     3.001	     2.546	     3.086	     2.337
brutto	     1.216	     2.255	     2.227	     2.642	     2.066
bugia	     1.187	     3.152	     2.395	     2.817	     2.657
buio	     1.647	     1.495	     1.475	     1.786	     1.377
buono	     4.095	     1.303	     1.393	     1.405	     1.164
burro	     1.968	     1.265	     1.233	     1.288	     1.354
cactus	     1.774	     1.746	     1.689	     2.006	     1.630
cadavere	     1.133	     3.483	     3.041	     3.547	     2.725
caduta	     1.200	     2.841	     2.469	     2.734	     2.184
calciare	     2.495	     1.724	     1.470	     1.839	     1.507
calore	     3.959	     1.149	     1.249	     1.156	     1.124
calza	     1.655	     1.381	     1.365	     1.433	     1.331
camera	     3.419	     1.199	     1.341	     1.266	     1.190
camicia	     2.287	     1.350	     1.406	     1.514	     1.330
camion	     1.581	     1.727	     1.814	     2.026	     1.645
campione	     3.352	     1.448	     1.473	     1.589	     1.302
campo	     2.482	     1.274	     1.300	     1.335	     1.356
cancrena	     1.081	     3.076	     3.143	     3.232	     2.647
cancro	     1.088	     2.985	     3.115	     3.306	     2.777
candelabro	     2.357	     1.358	     1.455	     1.491	     1.290
cane	     3.674	     1.396	     1.544	     1.566	     1.249
cannone	     1.694	     1.966	     1.888	     2.483	     1.672
canottiera	     2.250	     1.326	     1.462	     1.446	     1.351
cantina	     2.276	     1.229	     1.315	     1.355	     1.290
canzone	     4.267	     1.196	     1.331	     1.435	     1.146
caos	     1.509	     2.413	     1.997	     2.742	     1.965
capace	     3.947	     1.278	     1.303	     1.381	     1.167
capezzolo	     2.991	     1.366	     1.327	     1.446	     1.317
cappello	     2.328	     1.337	     1.376	     1.421	     1.266
cappio	     1.223	     2.926	     2.460	     3.236	     2.325
cappotto	     3.508	     1.263	     1.352	     1.299	     1.228
capro espiatorio	     1.452	     2.362	     1.885	     2.252	     1.974
carabina	     1.485	     2.225	     1.845	     2.216	     1.908
caraffa	     2.247	     1.253	     1.295	     1.290	     1.291
caramella	     3.836	     1.322	     1.380	     1.488	     1.219
carcassa	     1.201	     2.512	     2.221	     2.155	     2.279
carcere	     1.202	     2.907	     2.706	     3.017	     2.298
carezza	     4.243	     1.226	     1.268	     1.295	     1.154
carino	     4.241	     1.214	     1.332	     1.428	     1.153
carro	     2.317	     1.321	     1.289	     1.498	     1.241
carrozza	     3.063	     1.288	     1.353	     1.329	     1.256
carta	     2.910	     1.353	     1.384	     1.496	     1.256
casa	     4.105	     1.170	     1.265	     1.224	     1.109
cascata	     4.106	     1.196	     1.259	     1.252	     1.150
casinò	     1.587	     2.385	     1.861	     2.388	     2.018
cassettiera	     2.435	     1.354	     1.327	     1.455	     1.290
catapecchia	     1.182	     2.158	     2.471	     2.333	     2.389
cattivo	     1.149	     3.004	     2.285	     2.533	     2.784
causa	     2.235	     1.551	     1.394	     1.706	     1.582
cavallo	     2.916	     1.374	     1.327	     1.366	     1.294
caviglia	     1.754	     1.525	     1.465	     1.629	     1.482
cellula	     2.339	     1.357	     1.344	     1.449	     1.321
cena	     3.709	     1.141	     1.235	     1.214	     1.199
centrotavola	     2.168	     1.357	     1.375	     1.478	     1.413
cerchio	     2.374	     1.299	     1.330	     1.312	     1.353
cervello	     4.070	     1.300	     1.301	     1.618	     1.200
cesto	     2.116	     1.378	     1.396	     1.440	     1.348
charme	     3.831	     1.226	     1.286	     1.370	     1.182
cherosene	     1.757	     1.748	     1.670	     1.902	     1.618
chiave	     2.276	     1.303	     1.327	     1.440	     1.300
chiesa	     2.699	     1.193	     1.262	     1.248	     1.230
chirurgia	     1.426	     2.497	     2.038	     2.739	     1.912
cibo	     3.987	     1.279	     1.352	     1.467	     1.164
cicatrice	     1.193	     2.600	     2.319	     2.531	     2.191
ciclamino	     3.479	     1.287	     1.355	     1.318	     1.249
ciclone	     1.268	     2.603	     2.266	     2.853	     2.037
cieco	     1.078	     2.834	     2.913	     2.857	     2.877
cielo	     4.091	     1.206	     1.292	     1.231	     1.120
ciliegio	     3.340	     1.283	     1.381	     1.353	     1.365
cimitero	     1.180	     2.515	     3.016	     2.853	     2.084
cioccolato	     4.222	     1.226	     1.311	     1.316	     1.157
circo	     2.892	     1.331	     1.404	     1.458	     1.246
città	     2.969	     1.315	     1.324	     1.488	     1.260
coccolare	     3.975	     1.241	     1.419	     1.586	     1.160
codardo	     1.143	     3.142	     2.209	     2.356	     2.550
collera	     1.232	     3.109	     2.518	     3.201	     2.306
collisione	     1.201	     2.655	     2.200	     3.076	     2.082
collo	     3.387	     1.301	     1.415	     1.315	     1.261
colombo	     2.258	     1.294	     1.317	     1.392	     1.352
colonna	     2.260	     1.308	     1.365	     1.387	     1.345
colore	     3.987	     1.325	     1.312	     1.382	     1.275
colpa	     1.255	     2.307	     2.158	     2.641	     2.093
colpevole	     1.134	     3.079	     3.038	     3.176	     2.336
colpire	     1.629	     2.435	     1.937	     2.475	     2.022
coltello	     1.446	     2.464	     1.926	     2.320	     2.045
comfort	     3.849	     1.126	     1.260	     1.224	     1.167
commedia	     3.348	     1.219	     1.288	     1.320	     1.189
commissione	     2.253	     1.673	     1.654	     1.934	     1.473
comò	     1.709	     1.396	     1.378	     1.439	     1.287
comodino	     1.677	     1.368	     1.365	     1.446	     1.272
compleanno	     4.242	     1.280	     1.360	     1.544	     1.206
computer	     2.926	     1.385	     1.444	     1.562	     1.289
concentrarsi	     2.981	     1.372	     1.474	     1.470	     1.241
confuso	     1.185	     2.777	     2.565	     2.613	     2.067
coniglietto	     3.569	     1.162	     1.260	     1.298	     1.143
coniglio	     3.082	     1.373	     1.381	     1.433	     1.284
conoscenza	     4.215	     1.257	     1.342	     1.513	     1.161
consolato	     2.237	     1.342	     1.417	     1.789	     1.310
contante	     3.388	     1.364	     1.489	     1.479	     1.227
contenuto	     2.266	     1.256	     1.267	     1.338	     1.341
contesto	     2.709	     1.279	     1.327	     1.466	     1.259
coppia	     3.954	     1.258	     1.354	     1.281	     1.157
coraggioso	     4.121	     1.301	     1.324	     1.610	     1.185
corda	     1.577	     1.941	     1.736	     1.975	     1.728
cornice	     2.681	     1.253	     1.297	     1.386	     1.256
corona	     2.971	     1.388	     1.420	     1.488	     1.202
corpo	     3.191	     1.353	     1.301	     1.389	     1.272
corridoio	     1.586	     1.398	     1.391	     1.510	     1.307
corridore	     2.532	     1.535	     1.361	     1.631	     1.485
corrotto	     1.164	     3.190	     2.784	     2.880	     2.240
cortese	     3.832	     1.171	     1.246	     1.253	     1.116
cortesia	     4.116	     1.301	     1.416	     1.430	     1.168
costa	     3.569	     1.231	     1.240	     1.351	     1.155
cranio	     2.042	     1.506	     1.391	     1.595	     1.484
credenza	     2.564	     1.331	     1.361	     1.519	     1.299
crepuscolo	     3.401	     1.206	     1.378	     1.227	     1.182
criminale	     1.107	     3.479	     3.209	     3.449	     2.663
crimine	     1.190	     2.883	     2.553	     3.162	     1.946
crisi	     1.201	     2.981	     2.728	     3.042	     2.159
crocifiggere	     1.071	     2.984	     3.241	     3.616	     2.595
crudele	     1.221	     2.523	     2.132	     2.044	     2.515
cucchiaio	     2.476	     1.255	     1.304	     1.340	     1.290
cucciolo	     3.843	     1.318	     1.359	     1.377	     1.168
cucina	     3.981	     1.302	     1.369	     1.371	     1.176
cucinare	     3.959	     1.269	     1.321	     1.483	     1.201
cuore	     3.864	     1.327	     1.400	     1.419	     1.253
curioso	     3.825	     1.344	     1.445	     1.502	     1.202
cuscino	     3.881	     1.131	     1.253	     1.204	     1.099
danneggiare	     1.118	     2.750	     2.426	     2.082	     3.147
danno	     1.181	     2.288	     2.412	     2.406	     1.984
debito	     1.065	     3.262	     3.259	     3.170	     2.807
debole	     1.120	     2.930	     3.045	     3.136	     2.457
decomporsi	     1.296	     2.242	     2.164	     2.383	     1.958
decorare	     3.509	     1.326	     1.279	     1.350	     1.255
deforme	     1.165	     2.892	     2.750	     2.792	     2.182
delizia	     4.217	     1.207	     1.301	     1.261	     1.145
deludere	     1.072	     2.823	     2.971	     3.672	     2.181
demonio	     1.127	     3.479	     2.895	     2.969	     2.563
denaro	     4.103	     1.300	     1.375	     1.543	     1.160
dentista	     1.466	     2.262	     1.991	     2.574	     1.966
depressione	     1.080	     2.995	     3.217	     3.266	     2.645
depresso	     1.084	     2.662	     3.101	     2.809	     2.974
deridere	     1.541	     2.415	     1.988	     2.734	     1.990
desiderio	     4.495	     1.208	     1.375	     1.496	     1.126
detestare	     1.100	     3.122	     2.474	     2.723	     3.024
dettaglio	     2.727	     1.343	     1.339	     1.477	     1.330
devoto	     2.148	     1.344	     1.443	     1.512	     1.316
diamante	     4.139	     1.255	     1.349	     1.435	     1.198
diavolo	     1.187	     3.137	     2.455	     2.963	     2.674
dignitoso	     3.383	     1.358	     1.440	     1.512	     1.244
dio	     3.056	     1.263	     1.414	     1.570	     1.229
dipendente	     1.119	     3.210	     2.485	     2.865	     2.904
diploma	     3.885	     1.352	     1.403	     1.481	     1.259
disastro	     1.159	     2.697	     2.986	     2.712	     2.259
discarica	     1.153	     2.823	     2.904	     2.695	     2.030
disdegno	     1.157	     3.106	     2.246	     2.266	     2.604
disertore	     1.230	     2.619	     2.100	     2.078	     2.390
disgustato	     1.107	     2.992	     2.956	     3.060	     2.172
disincantato	     1.699	     1.617	     1.666	     1.828	     1.703
disinvolto	     3.397	     1.227	     1.270	     1.285	     1.192
disordinato	     1.520	     2.483	     1.927	     2.428	     2.046
disperato	     1.209	     2.707	     2.788	     2.809	     1.953
dispetto	     1.248	     2.567	     2.022	     2.311	     2.016
dispiaciuto	     1.134	     2.675	     2.335	     2.348	     2.345
disprezzare	     1.115	     3.088	     2.505	     2.248	     2.900
disprezzo	     1.161	     2.469	     2.338	     2.525	     2.319
distaccato	     1.242	     2.063	     2.059	     1.966	     2.290
distante	     1.240	     2.682	     2.194	     2.602	     2.165
distruggere	     1.200	     3.017	     2.509	     3.019	     2.372
distruzione	     1.220	     2.956	     2.446	     3.158	     1.945
disturbare	     1.228	     3.131	     2.317	     2.725	     2.367
dito	     2.115	     1.383	     1.390	     1.506	     1.435
divano	     3.724	     1.143	     1.248	     1.196	     1.093
divertimento	     4.209	     1.279	     1.410	     1.528	     1.192
divorzio	     1.206	     2.985	     2.425	     2.954	     2.498
dollaro	     3.977	     1.278	     1.291	     1.431	     1.161
dolore	     1.071	     2.893	     3.174	     3.566	     2.499
dominante	     2.712	     1.280	     1.345	     1.464	     1.293
donna	     3.473	     1.365	     1.398	     1.454	     1.222
dono	     4.004	     1.263	     1.360	     1.406	     1.196
dormire	     3.936	     1.140	     1.256	     1.193	     1.106
dottore	     2.114	     1.330	     1.417	     1.686	     1.312
drogato	     1.102	     2.981	     2.583	     2.139	     2.847
duro	     1.875	     1.559	     1.486	     1.837	     1.509
eccellenza	     4.021	     1.295	     1.415	     1.463	     1.197
eccezionale	     4.302	     1.237	     1.386	     1.564	     1.140
eccitato	     3.991	     1.260	     1.289	     1.481	     1.171
eccitazione	     4.141	     1.287	     1.252	     1.518	     1.188
edificio	     2.333	     1.348	     1.411	     1.470	     1.334
egoista	     1.121	     2.649	     2.304	     1.981	     2.801
elefante	     3.029	     1.354	     1.405	     1.568	     1.253
elegante	     4.380	     1.182	     1.283	     1.428	     1.126
elemento	     2.183	     1.445	     1.395	     1.549	     1.392
elettrodomestico	     1.468	     2.177	     1.877	     2.115	     2.031
elicottero	     2.228	     1.376	     1.422	     1.411	     1.378
emicrania	     1.090	     2.258	     3.706	     2.758	     2.031
entusiasmare	     4.228	     1.251	     1.366	     1.609	     1.182
entusiasmo	     4.289	     1.274	     1.273	     1.579	     1.165
erba	     3.195	     1.324	     1.334	     1.322	     1.277
eroina	     1.386	     2.829	     2.012	     2.380	     2.179
erotico	     4.036	     1.262	     1.340	     1.544	     1.171
errore	     1.224	     2.509	     2.135	     2.906	     2.033
esecuzione	     1.226	     2.921	     2.324	     2.919	     2.336
esercito	     1.505	     2.362	     1.969	     2.650	     2.052
esercizio	     2.045	     2.025	     1.776	     2.153	     1.603
estasi	     3.919	     1.292	     1.327	     1.630	     1.156
esterno	     2.787	     1.299	     1.375	     1.451	     1.229
esultante	     4.196	     1.269	     1.355	     1.586	     1.178
evento	     3.425	     1.370	     1.454	     1.527	     1.242
evidente	     2.783	     1.439	     1.418	     1.486	     1.369
evidenziatore	     2.711	     1.270	     1.332	     1.444	     1.233
faccia	     2.366	     1.262	     1.300	     1.399	     1.294
facile	     3.683	     1.136	     1.190	     1.198	     1.190
falco	     3.274	     1.410	     1.344	     1.460	     1.294
fallimento	     1.160	     2.819	     2.793	     3.157	     2.122
falso	     1.100	     2.939	     2.664	     2.260	     2.645
fama	     3.682	     1.324	     1.287	     1.575	     1.202
famelico	     1.181	     2.921	     2.282	     2.732	     2.321
famiglia	     4.085	     1.308	     1.388	     1.446	     1.262
famoso	     3.030	     1.369	     1.407	     1.451	     1.244
fanale	     1.752	     1.625	     1.607	     1.895	     1.586
fanghiglia	     1.363	     2.253	     1.986	     2.017	     2.112
fangoso	     1.315	     2.100	     2.032	     1.925	     2.257
fantasia	     4.160	     1.217	     1.285	     1.368	     1.170
farfalla	     3.448	     1.116	     1.271	     1.299	     1.166
faro	     3.154	     1.208	     1.243	     1.291	     1.206
fascino	     4.001	     1.284	     1.361	     1.355	     1.223
fase	     1.660	     1.617	     1.619	     1.791	     1.495
fastidio	     1.139	     2.729	     2.288	     2.295	     2.608
fattoria	     3.422	     1.419	     1.401	     1.474	     1.275
favore	     3.546	     1.352	     1.451	     1.482	     1.200
fazzoletto	     2.110	     1.283	     1.317	     1.330	     1.332
febbre	     1.218	     2.372	     2.742	     2.756	     2.040
feccia	     1.097	     2.908	     2.645	     2.212	     2.655
felice	     4.447	     1.213	     1.376	     1.483	     1.131
felpa	     3.601	     1.200	     1.251	     1.273	     1.171
femminuccia	     2.004	     1.843	     1.526	     1.695	     1.595
ferie	     4.337	     1.149	     1.255	     1.385	     1.133
ferita	     1.170	     2.637	     2.479	     2.465	     2.332
ferite	     1.196	     2.995	     2.699	     3.129	     2.097
ferito	     1.131	     3.528	     3.047	     3.195	     2.488
ferro	     1.586	     1.928	     2.009	     2.036	     1.939
festa	     4.071	     1.258	     1.356	     1.621	     1.158
festivo	     4.252	     1.237	     1.339	     1.379	     1.154
fetido	     1.226	     2.610	     2.193	     2.217	     2.304
fetore	     1.171	     3.188	     2.809	     2.917	     2.344
ficcanaso	     1.203	     2.747	     2.246	     2.642	     2.255
fidanzato	     3.181	     1.328	     1.395	     1.448	     1.235
fiducia	     3.808	     1.181	     1.271	     1.322	     1.175
fiducioso	     4.010	     1.278	     1.358	     1.475	     1.155
fieno	     2.016	     1.297	     1.296	     1.311	     1.363
film	     3.995	     1.180	     1.295	     1.264	     1.139
finestra	     2.313	     1.291	     1.344	     1.381	     1.356
fiore	     4.102	     1.250	     1.381	     1.268	     1.162
fiorire	     3.752	     1.179	     1.249	     1.338	     1.164
firmamento	     3.431	     1.230	     1.357	     1.424	     1.166
fischio	     2.041	     1.788	     1.714	     2.136	     1.544
fiume	     2.757	     1.271	     1.348	     1.409	     1.376
flaccido	     1.384	     2.088	     1.902	     1.906	     2.129
flirtare	     2.636	     1.346	     1.341	     1.481	     1.309
foglio	     2.756	     1.236	     1.276	     1.463	     1.242
folle	     2.450	     1.636	     1.401	     1.722	     1.475
forbici	     1.630	     1.782	     1.618	     1.791	     1.679
forchetta	     3.073	     1.302	     1.317	     1.445	     1.223
forcina	     2.008	     1.351	     1.404	     1.457	     1.403
forte	     3.813	     1.301	     1.320	     1.691	     1.171
fortuito	     2.274	     1.326	     1.363	     1.690	     1.333
fortunato	     4.264	     1.213	     1.308	     1.310	     1.150
fragranza	     3.153	     1.395	     1.402	     1.376	     1.310
fratello	     4.421	     1.188	     1.260	     1.356	     1.111
freddo	     1.243	     2.597	     2.543	     2.702	     2.004
freezer	     3.610	     1.262	     1.348	     1.353	     1.180
frigido	     1.296	     2.307	     2.302	     2.888	     2.037
frittella	     3.721	     1.283	     1.376	     1.416	     1.264
frustrato	     1.086	     2.942	     3.021	     3.166	     2.501
fucile	     1.218	     3.022	     2.532	     3.229	     2.430
fulmine	     1.551	     2.025	     1.995	     2.215	     2.016
funerale	     1.119	     2.642	     2.709	     3.762	     1.930
fungo	     2.687	     1.258	     1.340	     1.415	     1.299
fuochi d'artificio	     4.085	     1.265	     1.387	     1.387	     1.219
fuoco	     2.666	     1.400	     1.400	     1.531	     1.388
gamba	     2.308	     1.345	     1.337	     1.493	     1.322
gattino	     3.542	     1.304	     1.338	     1.375	     1.321
gatto	     2.804	     1.269	     1.297	     1.302	     1.212
gelatina	     1.875	     1.504	     1.449	     1.675	     1.541
gelosia	     1.416	     2.523	     2.059	     2.748	     1.926
genere	     1.694	     1.484	     1.450	     1.621	     1.463
gente	     2.546	     1.454	     1.331	     1.734	     1.364
gentile	     4.193	     1.213	     1.306	     1.404	     1.160
gentilezza	     4.224	     1.237	     1.273	     1.293	     1.146
geranio	     2.941	     1.327	     1.382	     1.429	     1.287
germe	     1.227	     2.595	     2.326	     2.608	     2.020
ghiacciaio	     1.948	     1.799	     1.849	     2.179	     1.571
ghigliottina	     1.100	     3.486	     2.998	     3.557	     2.500
giacca	     2.364	     1.344	     1.469	     1.513	     1.255
giallo	     2.693	     1.414	     1.409	     1.556	     1.356
giardino	     3.903	     1.133	     1.266	     1.188	     1.124
giarrettiera	     3.224	     1.384	     1.464	     1.479	     1.277
ginnasta	     3.142	     1.310	     1.291	     1.441	     1.253
giocattolo	     3.675	     1.374	     1.390	     1.503	     1.243
gioco	     4.085	     1.277	     1.311	     1.617	     1.178
gioia	     4.351	     1.220	     1.402	     1.451	     1.149
gioiello	     3.439	     1.284	     1.309	     1.359	     1.223
gioioso	     4.062	     1.279	     1.360	     1.498	     1.207
giovane	     4.280	     1.228	     1.336	     1.516	     1.157
gioventù	     4.258	     1.252	     1.392	     1.641	     1.166
gioviale	     3.805	     1.289	     1.331	     1.544	     1.212
giustizia	     4.065	     1.247	     1.303	     1.468	     1.153
gloria	     3.672	     1.359	     1.332	     1.508	     1.235
godimento	     4.066	     1.233	     1.378	     1.587	     1.172
goffo	     1.243	     2.093	     2.074	     2.017	     2.378
golfista	     1.672	     1.343	     1.375	     1.469	     1.281
gomito	     1.717	     1.414	     1.375	     1.602	     1.294
gomma	     1.958	     1.313	     1.362	     1.380	     1.363
gonna	     3.167	     1.370	     1.382	     1.417	     1.264
graffetta	     1.713	     1.419	     1.397	     1.517	     1.458
granata	     1.205	     2.503	     2.124	     3.114	     2.136
grasso	     1.131	     2.576	     2.236	     1.922	     2.669
grato	     3.873	     1.180	     1.291	     1.252	     1.126
grattacielo	     2.408	     1.363	     1.479	     1.864	     1.366
grave	     1.210	     2.947	     2.692	     3.133	     2.135
grazioso	     3.589	     1.323	     1.481	     1.420	     1.301
grezzo	     1.254	     2.185	     2.092	     2.047	     2.672
grossolano	     1.641	     1.681	     1.669	     1.869	     1.783
grumo	     1.373	     2.273	     1.947	     2.041	     2.333
guardia	     1.786	     2.029	     1.913	     2.221	     1.603
guarire	     3.839	     1.206	     1.313	     1.269	     1.163
guerra	     1.086	     3.361	     2.919	     3.603	     2.503
gufo	     2.352	     1.321	     1.293	     1.509	     1.252
gusto	     3.602	     1.218	     1.255	     1.305	     1.143
hamburger	     3.399	     1.407	     1.356	     1.510	     1.290
handicap	     1.182	     3.036	     3.017	     3.103	     2.341
hotel	     2.855	     1.189	     1.289	     1.274	     1.235
humor	     2.971	     1.329	     1.344	     1.440	     1.277
idea	     4.310	     1.267	     1.351	     1.588	     1.171
identità	     2.800	     1.386	     1.337	     1.416	     1.293
idiota	     1.185	     2.668	     2.300	     2.117	     2.509
idolo	     4.024	     1.270	     1.311	     1.476	     1.214
idrante	     2.605	     1.426	     1.396	     1.581	     1.322
ignoranza	     1.107	     2.955	     2.702	     2.309	     2.555
imbarazzato	     1.340	     2.173	     2.222	     2.946	     1.927
immaginare	     4.040	     1.303	     1.415	     1.411	     1.193
immaturo	     1.153	     2.997	     2.220	     2.194	     2.709
immondizia	     1.101	     3.084	     2.683	     2.281	     2.579
immorale	     1.174	     3.079	     2.343	     2.258	     2.556
impaurito	     1.185	     2.900	     2.711	     3.196	     2.028
impegnato	     2.569	     1.423	     1.350	     1.738	     1.292
impiego	     3.585	     1.366	     1.299	     1.478	     1.191
impotente	     1.141	     3.106	     2.902	     3.189	     2.226
impressionato	     3.077	     1.375	     1.405	     1.735	     1.293
incentivo	     4.023	     1.258	     1.344	     1.566	     1.148
inchiostro	     2.189	     1.237	     1.272	     1.302	     1.297
incidente	     1.058	     3.169	     3.178	     3.806	     2.810
incoraggiare	     4.322	     1.201	     1.253	     1.386	     1.123
incubo	     1.072	     3.452	     3.234	     3.481	     2.674
indifeso	     1.169	     2.847	     2.779	     2.747	     2.114
indifferente	     1.314	     2.193	     1.966	     1.877	     2.188
indignazione	     1.161	     2.942	     2.104	     2.366	     2.433
indumento	     3.053	     1.327	     1.330	     1.395	     1.253
industria	     1.797	     1.888	     1.882	     2.132	     1.642
infastidire	     1.219	     2.960	     2.503	     3.067	     2.501
infatuazione	     3.271	     1.369	     1.299	     1.587	     1.205
infedele	     1.109	     3.705	     3.125	     3.393	     2.906
infelice	     1.074	     3.078	     3.106	     3.293	     2.941
inferiore	     1.158	     2.649	     3.012	     2.843	     2.179
infermiere	     1.823	     1.985	     1.920	     2.206	     1.574
inferno	     1.179	     2.967	     2.611	     2.919	     2.601
infezione	     1.195	     2.826	     2.503	     2.196	     2.565
infornare	     3.933	     1.291	     1.310	     1.364	     1.265
infuriato	     1.194	     3.466	     2.468	     3.010	     2.294
inganno	     1.116	     2.833	     2.843	     2.570	     2.417
innamorato	     4.418	     1.216	     1.238	     1.576	     1.128
innocente	     3.042	     1.252	     1.380	     1.521	     1.247
inondazione	     1.174	     2.995	     2.601	     3.179	     1.974
inquieto	     1.355	     2.927	     2.304	     3.024	     2.005
