	Val	Aro	Dom	Joy	Ang	Sad	Fea	Dsg
en_1								
en_2	0.914	0.689	0.77					
es_1				0.9150943396226415	0.8888888888888888	0.9150943396226415	0.8888888888888888	0.8636363636363638
es_2	0.8392857142857143	0.7295081967213115	0.7295081967213115	0.9150943396226415	0.9150943396226415	0.9150943396226415	0.8888888888888888	0.8888888888888888
es_3	0.88	0.75		0.7543859649122806	0.7857142857142857	0.8181818181818181	0.8018018018018019	0.7391304347826088
de_1								
pl_1	0.9282296650717703	0.6303501945525293		0.883720930232558	0.8017621145374451	0.8214285714285716	0.8214285714285716	0.8017621145374451
pl_2	0.9351273426237385	0.6790472345579329	0.724540901502504	0.883720930232558	0.8017621145374451	0.8214285714285716	0.8214285714285716	0.8017621145374451

