	Valence	Arousal	Average
1	0.7225	0.643	0.6828
2	0.6653	0.6083	0.6368
3	0.7075	0.6389	0.6732
4	0.7823	0.66	0.7211
5	0.7048	0.6424	0.6736
6	0.6981	0.6483	0.6732
7	0.7588	0.7001	0.7295
8	0.723	0.6079	0.6655
9	0.7293	0.6268	0.6781
10	0.7113	0.6376	0.6745
SD	0.0324	0.0265	0.0294
Average	0.7203	0.6413	0.6808

