	Valence	Arousal	Average
1	0.9632	0.783	0.8731
2	0.9568	0.7833	0.8701
3	0.961	0.7591	0.86
4	0.9739	0.7784	0.8762
5	0.9572	0.7719	0.8645
6	0.9614	0.7855	0.8735
7	0.9657	0.8189	0.8923
8	0.9702	0.808	0.8891
9	0.954	0.7881	0.8711
10	0.9656	0.8115	0.8885
SD	0.0062	0.0187	0.0124
Average	0.9629	0.7888	0.8758

