	Valence	Arousal	Average
1	0.958	0.7873	0.8726
2	0.952	0.7705	0.8612
3	0.9592	0.7587	0.859
4	0.9721	0.7839	0.878
5	0.9543	0.7557	0.855
6	0.9573	0.7807	0.869
7	0.966	0.8038	0.8849
8	0.9707	0.79	0.8803
9	0.9496	0.7698	0.8597
10	0.9648	0.7904	0.8776
SD	0.0077	0.0152	0.0114
Average	0.9604	0.7791	0.8697

