	Valence	Arousal	Dominance	Average
1	0.987	0.8571	0.7786	0.8742
2	0.9863	0.8187	0.7746	0.8599
3	0.9876	0.795	0.7015	0.8281
4	0.9871	0.8045	0.6838	0.8251
5	0.9866	0.824	0.7231	0.8446
6	0.9885	0.8509	0.7565	0.8653
7	0.9803	0.8458	0.6779	0.8346
8	0.9853	0.8663	0.753	0.8682
9	0.9863	0.8304	0.6122	0.8096
10	0.9842	0.7989	0.7251	0.8361
SD	0.0023	0.0253	0.0515	0.0264
Average	0.9859	0.8292	0.7186	0.8446

