	Valence	Arousal	Dominance	Average
1	0.0007	-0.0071	-0.0257	-0.0107
2	0.0024	-0.0254	-0.058	-0.027
3	-0.0005	-0.0113	-0.0046	-0.0055
4	-0.0019	-0.0531	-0.0387	-0.0312
5	-0.0008	-0.0435	-0.0336	-0.0259
6	-0.0004	-0.024	-0.0182	-0.0142
7	-0.0005	-0.0261	-0.0558	-0.0274
8	0.0008	-0.0132	-0.0122	-0.0082
9	-0.0008	-0.0165	-0.023	-0.0135
10	-0.0012	-0.0349	-0.0314	-0.0225
SD	-0.0007	-0.0046	0.0085	0.0011
Average	-0.0002	-0.0255	-0.0302	-0.0186

