	Valence	Arousal	Dominance	Average
1	0.9546	0.712	0.7627	0.8098
2	0.8701	0.71	0.6272	0.7358
3	0.9635	0.7529	0.765	0.8272
4	0.9337	0.7978	0.7801	0.8372
5	0.9662	0.7457	0.6691	0.7936
6	0.9247	0.7445	0.7085	0.7926
7	0.9442	0.7502	0.7074	0.8006
8	0.9399	0.7636	0.7826	0.8287
9	0.9448	0.7584	0.5955	0.7663
10	0.9533	0.7858	0.7444	0.8278
SD	0.0275	0.0277	0.0655	0.0402
Average	0.9395	0.7521	0.7143	0.8019

