	Valence	Arousal	Dominance	Average
1	0.8803	0.6508	0.6672	0.7328
2	0.7898	0.6266	0.5684	0.6616
3	0.838	0.6781	0.6411	0.7191
4	0.8576	0.7581	0.687	0.7676
5	0.8793	0.682	0.5242	0.6952
6	0.8378	0.6527	0.5862	0.6923
7	0.8478	0.6973	0.6305	0.7252
8	0.8351	0.7493	0.7041	0.7628
9	0.8169	0.6733	0.5185	0.6696
10	0.848	0.754	0.6362	0.7461
SD	0.0271	0.0468	0.0648	0.0462
Average	0.8431	0.6922	0.6163	0.7172

